"Year","China","Others","World"
1950,0.144906,3.002270,2.378734
1951,0.184404,3.166415,2.515504
1952,0.226501,3.140088,2.502896
1953,0.231642,3.169024,2.524970
1954,0.272627,3.162951,2.527923
1955,0.315670,3.394811,2.716614
1956,0.350052,3.538767,2.835461
1957,0.405784,3.568520,2.869636
1958,0.814357,3.481600,2.891376
1959,1.103345,3.516687,2.985590
1960,1.219927,3.638012,3.112931
1961,0.870180,3.671231,3.071906
1962,0.691089,3.778063,3.120741
1963,0.667278,3.911082,3.215595
1964,0.653583,4.048861,3.315825
1965,0.691571,4.140108,3.391959
1966,0.740120,4.250448,3.484865
1967,0.604754,4.341983,3.523155
1968,0.634452,4.489497,3.640223
1969,0.757591,4.668961,3.802135
1970,0.981361,4.907466,4.032588
1971,1.077174,4.988298,4.112597
1972,1.121524,5.117315,4.219747
1973,1.142414,5.288944,4.355556
1974,1.141902,5.158039,4.253289
1975,1.291488,5.010217,4.173319
1976,1.318117,5.176355,4.310191
1977,1.420932,5.197212,4.352449
1978,1.560947,5.255564,4.432504
1979,1.573750,5.290333,4.465701
1980,1.519887,5.171249,4.364099
1981,1.479652,4.928689,4.168842
1982,1.584706,4.757738,4.060496
1983,1.645908,4.691057,4.023942
1984,1.766742,4.711477,4.068703
1985,1.884486,4.764249,4.137420
1986,1.952622,4.724394,4.122175
1987,2.058560,4.767781,4.179654
1988,2.173913,4.841204,4.262697
1989,2.171225,4.813644,4.241189
1990,2.152888,4.850872,4.266701
1991,2.237076,4.846211,4.282473
1992,2.305715,4.579317,4.090168
1993,2.434030,4.514001,4.068620
1994,2.559043,4.451023,4.047994
1995,2.746582,4.442955,4.083544
1996,2.842784,4.496566,4.148108
1997,2.829939,4.455495,4.114970
1998,2.682451,4.402736,4.044522
1999,2.817025,4.408485,4.079117
2000,2.870088,4.460859,4.133621
2001,2.912365,4.414780,4.107635
2002,3.184619,4.388784,4.144280
2003,3.735178,4.451450,4.307030
2004,4.001966,4.498715,4.399256
2005,4.489976,4.494451,4.493561
2006,4.921031,4.503302,4.585831
2007,5.260667,4.515256,4.661509
2008,5.617249,4.456337,4.682571
2009,5.870657,4.227280,4.545518
2010,6.370445,4.357475,4.744937
2011,6.998823,4.340333,4.848876
2012,7.131918,4.319067,4.854014
2013,7.209799,4.284520,4.837742
2014,7.187589,4.252768,4.804597
2015,7.060955,4.205463,4.739116
2016,6.942884,4.166813,4.682487
2017,7.080384,4.167094,4.705259
2018,7.291561,4.181216,4.752195
2019,7.526070,4.128677,4.747814
2020,7.640750,3.755162,4.457744
2021,7.910899,3.918875,4.634748
2022,8.217777,3.913747,4.678452
2023,8.556262,3.886857,4.707772
2024,8.658390,3.901958,4.729075
2025,8.692544,3.899264,4.723859
