"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.010700,0.008900,0.050600,0.004900
1962,0.004800,0.021000,0.055000,0.006100
1963,0.005600,0.024200,0.046400,0.004300
1964,0.003400,0.023200,0.142600,0.006600
1965,0.003900,0.024700,0.130800,0.003000
1966,0.008900,0.020700,0.148200,0.006600
1967,0.012600,0.030000,0.132200,0.008300
1968,0.007200,0.015800,0.113000,0.005500
1969,0.006600,0.032500,0.122600,0.003200
1970,0.005400,0.009200,0.176800,0.004500
1971,0.104300,,0.184000,0.032200
1972,0.155600,,0.150800,0.047900
1973,0.109100,,0.150800,0.047900
1974,0.109100,,0.150800,0.047900
1975,0.109100,,0.150800,0.047900
1976,0.046100,,0.072400,0.047800
1977,0.040600,,0.067000,0.052500
1978,0.029300,,0.063000,0.029600
1979,0.025300,,0.059000,0.030000
1980,0.022500,,0.055000,0.037000
1981,0.025300,,0.058400,0.024200
1982,0.030300,,0.052400,0.034000
1983,0.028300,,0.046400,0.025000
1984,0.028300,,0.258000,0.009000
1985,0.049300,,0.434000,0.009000
1986,0.065900,,0.598000,0.031100
1987,0.042800,,0.600000,0.055200
1988,0.100700,,0.442000,0.132400
1989,0.071900,,0.475800,0.043200
1990,0.065200,,0.679400,0.371000
1991,0.100600,,0.593200,0.634158
1992,0.636911,0.097259,0.357430,0.719563
1993,0.341442,0.110291,0.360756,0.747717
1994,0.403111,0.146832,0.481988,0.665191
1995,0.567000,0.213000,0.553200,0.485563
1996,0.713700,0.291300,0.377800,0.074300
1997,0.389000,0.503700,0.429600,0.074000
1998,0.310000,0.200900,0.491122,0.033000
1999,0.309500,0.105800,0.620000,0.033400
2000,0.551000,0.777500,1.273802,0.027041
2001,0.433300,1.028300,1.318200,0.026646
2002,0.431000,1.964000,1.416000,0.015000
2003,0.523000,2.217200,2.182180,0.013417
2004,0.475000,4.773641,2.358410,0.008000
2005,0.616000,7.236000,3.676000,0.007927
2006,0.808000,10.641000,5.932000,0.006282
2007,0.747000,10.914000,8.108924,0.005066
2008,0.685269,10.118060,6.856200,0.006489
2009,0.555865,7.882628,6.847772,0.014503
2010,0.533249,9.730430,7.088522,0.030114
2011,0.538927,12.713452,8.403642,0.015619
2012,0.474438,13.615154,8.762648,0.010577
2013,0.454373,13.479399,10.579454,0.024200
2014,0.484651,12.594730,11.864786,0.022933
2015,0.347657,13.363157,11.102174,0.020393
2016,0.390278,13.191147,12.818752,0.153068
2017,0.281167,13.973010,12.031494,0.097055
2018,0.293859,12.103903,10.349956,0.079427
2019,0.191039,10.791584,11.530008,0.058377
2020,0.190829,10.484929,9.374562,0.041677
2021,0.288823,15.039792,8.796048,0.018341
2022,0.251783,13.979331,14.302786,0.091728
2023,0.163364,14.385353,15.123378,0.040031
