"Year","China","World"
1950,0.160403,2.378734
1951,0.195196,2.515504
1952,0.239821,2.502896
1953,0.246735,2.524970
1954,0.290142,2.527923
1955,0.333506,2.716614
1956,0.366901,2.835461
1957,0.425601,2.869636
1958,0.857328,2.891376
1959,1.158767,2.985590
1960,1.250030,3.112931
1961,0.883466,3.071906
1962,0.696068,3.120741
1963,0.669862,3.215595
1964,0.652992,3.315825
1965,0.694782,3.391959
1966,0.744358,3.484865
1967,0.601901,3.523155
1968,0.630163,3.640223
1969,0.750969,3.802135
1970,0.980227,4.032588
1971,1.078336,4.112597
1972,1.118907,4.219747
1973,1.138888,4.355556
1974,1.146092,4.253289
1975,1.318853,4.173319
1976,1.334080,4.310191
1977,1.433253,4.352449
1978,1.582159,4.432504
1979,1.605523,4.465701
1980,1.559064,4.364099
1981,1.522880,4.168842
1982,1.585711,4.060496
1983,1.664307,4.023942
1984,1.803371,4.068703
1985,1.956997,4.137420
1986,1.981194,4.122175
1987,2.016481,4.179654
1988,2.080418,4.262697
1989,2.176298,4.241189
1990,2.184700,4.266701
1991,2.171866,4.282473
1992,2.197159,4.090168
1993,2.235793,4.068620
1994,2.363783,4.047994
1995,2.542232,4.083544
1996,2.601979,4.148108
1997,2.574056,4.114970
1998,2.468820,4.044522
1999,2.503004,4.079117
2000,2.570502,4.133621
2001,2.689792,4.107635
2002,2.834719,4.144280
2003,3.263330,4.307030
2004,3.746572,4.399256
2005,4.151671,4.493561
2006,4.403559,4.585831
2007,4.722387,4.661509
2008,4.872333,4.682571
2009,4.979681,4.545518
2010,5.356778,4.744937
2011,5.869249,4.848876
2012,5.908749,4.854014
2013,5.947373,4.837742
2014,5.840247,4.804597
2015,5.721255,4.739116
2016,5.280593,4.682487
2017,5.404082,4.705259
2018,5.633456,4.752195
2019,5.829761,4.747814
2020,5.898724,4.457744
2021,6.117189,4.634748
2022,6.665023,4.678452
2023,6.836551,4.707772
2024,6.952977,4.729075
