"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,10.328700,0.000500,0.010700
1962,,,,9.610200,0.000100,0.004800
1963,,,,10.509100,0.000100,0.005600
1964,,,,11.108000,0.001900,0.003400
1965,,,,11.514900,0.000500,0.003900
1966,,,,12.015100,0.000500,0.008900
1967,,,,12.533200,,0.012600
1968,,,,13.023200,,0.007200
1969,,,,13.524600,,0.006600
1970,,,,14.030000,,0.005400
1971,,,,14.530000,,0.104300
1972,,,,15.030000,,0.155600
1973,,,,15.530000,,0.109100
1974,,,,16.025000,,0.109100
1975,,,,16.102000,,0.109100
1976,,,,16.935000,,0.046100
1977,,,,17.811000,,0.040600
1978,,,,18.702000,,0.029300
1979,,,,19.635000,,0.025300
1980,,,,20.615000,,0.022500
1981,,,,21.644000,,0.025300
1982,,,,22.725000,,0.030300
1983,,,,23.489000,,0.028300
1984,,,,25.380000,,0.028300
1985,,,,26.760000,0.154500,0.049300
1986,,,,26.050000,0.059000,0.065900
1987,,,,26.050000,0.077200,0.042800
1988,,,,25.988000,0.289400,0.100700
1989,,,,24.664000,0.123400,0.071900
1990,,,,22.743000,0.257300,0.065200
1991,,,,20.104000,0.222800,0.100600
1992,,,,18.900000,0.738561,0.636911
1993,,,,24.851000,1.157483,0.341442
1994,,,,24.745000,0.938974,0.403111
1995,,,,24.745000,0.940500,0.567000
1996,,,,26.552000,1.044800,0.713700
1997,,,,20.124000,1.966000,0.389000
1998,,,,17.875000,1.728000,0.310000
1999,,,,15.859000,1.858000,0.309500
2000,,,,6.434000,3.668900,0.551000
2001,,,,7.638000,4.016100,0.433300
2002,,,,8.520000,5.396000,0.431000
2003,,,,11.300000,5.506000,0.523000
2004,,,,15.325000,6,0.475000
2005,17.903000,5.972000,0.616000,17.903000,5.972000,0.616000
2006,,,,24.865000,6.068000,0.808000
2007,,,,28.291000,6.503000,0.747000
2008,,,,28.400000,7.264858,0.685269
2009,,,,32.298000,9.884987,0.555865
2010,,,,37.200000,14.755695,0.533249
2011,,,,44.600000,21.554614,0.538927
2012,,,,55.700000,20.630944,0.474438
2013,,,,63,24.017777,0.454373
2014,,,,68.370000,23.821390,0.484651
2015,,,,74.304000,26.625158,0.347657
2016,,,,77.200000,32.147000,0.390278
2017,,,,86,37.392100,0.281167
2018,,,,83.618000,36.633090,0.293859
2019,,,,67.455000,38.114155,0.191039
2020,77.427000,33.860000,0.191000,77.427000,33.860000,0.190829
2021,79.517000,29.023000,0.254000,79.517000,29.023320,0.288823
2022,,,,56.990000,26.660000,0.251783
2023,,,,56.990000,26.900000,0.163364
