"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
2005,7.644487,6.515712,1.328965,0.381748,0.128990,-0.710928
2020,12.462518,11.162511,1.691941,0.524449,0.387089,-1.303471
2021,12.998842,11.596925,1.698047,0.557068,0.462216,-1.315415
