"Year","Manufacturing industries and construction: Other","Commercial/institutional: Stationary combustion","Residential: Stationary combustion"
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0.026237,0,0.066163
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0.019488,0,0.032816
2011,0.022624,0,0.030464
2012,0.037744,0,0.051856
2013,0.032144,0,0.043344
2014,0.032144,0,0.049056
2015,0.032144,0,0.046144
2016,0.032480,0,0.058576
2017,0.119495,0.112560,0.122304
2018,0.116563,0.114800,0.119840
2019,0.089280,0.117152,0.231616
2020,0.090488,0.119504,0.121744
2021,0.085596,0.121968,0.238000
2022,0.074904,0.124432,0.251776
