"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1994,0,0,0,0,0
1995,0,0,0,0,0
1996,0,0,0,0,0
1997,0,0,0,0,0
1998,0,0,0,0,0
1999,0,0,0,0,0
2000,-95.617177,-0.101400,,-0.144422,
2001,0,0,0,0,0
2002,0,0,0,0,0
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,0,0,0,0,0
2009,0,0,0,0,0
2010,-124.262091,-0.157331,,-0.069440,
2011,-126.373903,-0.017934,,-0.031955,
2012,-126.944706,-0.037796,,-0.052555,
2013,-123.880719,-0.057658,,-0.073155,
2014,-122.837488,-0.077520,,-0.093754,
2015,-123.554456,-0.097382,,-0.114354,
2016,-122.312569,-0.033660,,-0.029408,
2017,-118.031204,-0.067321,,-0.058817,
2018,-115.369491,-0.100981,,-0.088225,
2019,-106.337322,-0.025245,,-0.022056,
2020,-98.149003,-0.050505,,-0.044113,
2021,-94.259168,-0.075758,,-0.066169,
2022,-89.848863,-0.101010,,-0.088225,
