"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1994,,,,,,,0,0
1995,,,,,,,0,0
1996,,,,,,,0,0
1997,,,,,,,0,0
1998,,,,,,,0,0
1999,,,,,,,0,0
2000,-95.932768,2.401957,1.087060,0,3.002888,0,,0
2001,,,,,,,0,0
2002,,,,,,,0,0
2003,,,,,,,0,0
2004,,,,,,,0,0
2005,,,,,,,0,0
2006,,,,,,,0,0
2007,,,,,,,0,0
2008,,,,,,,0,0
2009,,,,,,,0,0
2010,-124.579465,3.388423,0.891322,0,1.580784,0,,0
2011,-126.515804,7.956608,0.746292,1.152003,1.194249,0.379299,,0
2012,-127.127514,7.929343,0.753460,1.188485,1.229101,0.390063,,0
2013,-124.101787,7.903734,0.760627,1.224968,1.263954,0.400826,,0
2014,-123.098288,7.879384,0.767885,1.261451,1.298806,0.411590,,0
2015,-123.856270,7.852759,0.775053,1.297934,1.333658,0.422354,,0
2016,-122.464703,8.346560,0.822758,0.014283,2.387806,0.055807,,0
2017,-118.243336,7.987398,0.831817,0.014283,2.456325,0.057294,,0
2018,-115.642801,7.617708,0.861275,0.014283,2.524845,0.058781,,0
2019,-106.462050,5.318892,0.743624,0.010712,1.597889,0.046316,,0
2020,-98.315123,5.052746,0.733786,0.010712,2.125813,0.047431,,0
2021,-94.469800,4.770527,0.756695,0.010712,2.177202,0.048547,,0
2022,-90.103629,4.488308,0.763490,0.010712,2.228592,0.049662,,0
