"Year","Romania","World"
1950,1.184446,2.372741
1951,1.354584,2.509281
1952,1.582499,2.496828
1953,1.797243,2.519009
1954,1.942176,2.522133
1955,2.107235,2.710743
1956,2.308077,2.829705
1957,2.568069,2.864250
1958,2.752598,2.886446
1959,2.770038,2.981084
1960,2.892735,3.109071
1961,2.991802,3.068418
1962,3.399663,3.117449
1963,3.675837,3.212604
1964,3.789418,3.313059
1965,4.113439,3.389338
1966,4.374828,3.482441
1967,4.756368,3.521091
1968,5.128254,3.638560
1969,5.657925,3.800910
1970,6.022375,4.031813
1971,6.237702,4.112250
1972,6.486448,4.219880
1973,7.014205,4.358162
1974,7.209680,4.257539
1975,7.646789,4.190445
1976,8.124827,4.342568
1977,8.203099,4.387958
1978,8.846534,4.445411
1979,8.880971,4.491730
1980,8.849926,4.385349
1981,8.873426,4.204303
1982,8.726718,4.095304
1983,8.911889,4.047822
1984,8.382954,4.114002
1985,8.587897,4.177916
1986,8.901878,4.164586
1987,9.315024,4.215461
1988,9.312335,4.303169
1989,9.345510,4.285587
1990,7.730936,4.275440
1991,6.228148,4.288762
1992,5.792311,4.101485
1993,5.402747,4.079975
1994,5.344530,4.061836
1995,5.581377,4.097368
1996,5.762764,4.164388
1997,5.301749,4.131378
1998,4.732365,4.059213
1999,4.039847,4.096031
2000,4.258384,4.148800
2001,4.541392,4.125716
2002,4.585788,4.162733
2003,4.833791,4.327484
2004,4.852724,4.421495
2005,4.805741,4.515645
2006,4.989246,4.611727
2007,5.225143,4.688505
2008,5.191271,4.708763
2009,4.286355,4.572416
2010,4.144916,4.774950
2011,4.561790,4.878259
2012,4.451596,4.887112
2013,3.916859,4.868795
2014,3.955455,4.830362
2015,3.908746,4.767311
2016,3.854575,4.713752
2017,4.018417,4.735624
2018,4.061817,4.780249
2019,3.916014,4.778430
2020,3.791278,4.479880
2021,3.997733,4.676995
2022,3.712894,4.676281
2023,3.430359,4.697341
