"Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1989,-32.433165,-32.433165,-21.485662,-21.441119,-21.512672,-15.292414,-17.160346,-17.567817,-17.567817,-19.876487,-18.601090,-18.313828,-26.421967,-21.494271,-22.448124,-21.309893,-21.309893
1990,-35.584402,-35.584402,-27.353317,-27.282396,-27.355418,-24.286997,-21.358220,-20.714614,-20.714614,-21.922822,-20.952544,-20.249672,-26.707627,-27.686685,-28.799871,-26.435318,-26.435318
1991,-37.042129,-37.042129,-29.351462,-27.906692,-27.979461,-24.872834,-24.370227,-22.567845,-22.567845,-21.970506,-21.263020,-20.248746,-26.779272,-28.114807,-29.265810,-26.682367,-26.682367
1992,-37.847642,-37.847642,-30.638958,-30.592450,-30.665195,-26.548898,-25.105697,-22.966803,-22.966803,-22.996716,-21.835220,-21.280092,-28.146781,-29.537585,-30.703207,-27.961574,-27.961628
1993,-39.132329,-39.132329,-29.913934,-29.869810,-29.942546,-26.283390,-26.500201,-24.279151,-24.279151,-24.408302,-23.013320,-22.610707,-29.386988,-30.825087,-32.067052,-29.136789,-29.118401
1994,-39.735177,-39.735177,-28.631984,-28.582442,-28.655152,-27.043424,-27.058251,-25.836185,-25.836185,-23.693976,-22.418242,-21.837439,-28.861290,-30.329671,-31.661468,-28.624266,-28.629308
1995,-38.987781,-38.987781,-27.150960,-27.119929,-27.192565,-27.078117,-26.473603,-25.060311,-25.060311,-23.206169,-21.667435,-21.392061,-28.398133,-29.897942,-31.312136,-28.419928,-28.423500
1996,-38.003246,-38.003246,-27.125306,-27.115389,-27.187978,-24.674754,-25.572573,-24.091866,-24.091866,-22.145203,-20.728611,-20.428623,-27.483937,-29.013591,-30.462334,-27.745104,-27.747637
1997,-38.389876,-38.389876,-28.543706,-28.558282,-28.630757,-25.829645,-25.989971,-24.533497,-24.533497,-22.625910,-21.229887,-20.853155,-28.071960,-29.616311,-31.145804,-28.364489,-28.366287
1998,-40.481145,-40.481145,-30.030941,-28.231400,-28.303803,-24.710308,-28.223981,-26.646166,-26.646166,-25.037950,-23.419987,-23.028548,-30.356541,-31.946652,-33.497767,-30.354856,-30.356134
1999,-39.208772,-39.208772,-30.525523,-28.604300,-28.676635,-26.095344,-27.117971,-25.226695,-25.226695,-24.504234,-22.889579,-22.540757,-29.899830,-31.519999,-33.098797,-30.173349,-30.174259
2000,-38.008237,-38.008237,-29.219402,-29.148121,-29.220444,-25.691881,-26.693544,-24.544361,-24.544361,-24.584686,-22.891392,-22.638225,-29.762335,-31.430043,-33.115993,-30.294479,-30.295129
2001,-39.009738,-39.009738,-31.012660,-28.945764,-29.017474,-26.803030,-27.883587,-25.409648,-25.409648,-25.547942,-23.651475,-23.557060,-30.680734,-32.341154,-34.071676,-31.095921,-31.096387
