"Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1989,159.418736,159.418736,159.474936,181.744087,169.024408,180.490038,179.931165,179.931165,177.024057,175.452340,175.452340,175.452340,175.452340,175.451748,173.434713,173.408724,173.369684
1990,148.405995,148.405995,152.857351,166.454503,156.430431,158.922740,151.141553,151.141553,147.141076,145.910880,144.603627,144.727451,145.156091,147.750033,150.804273,150.754551,150.722076
1991,116.048941,116.048941,120.060038,137.808254,130.562833,132.587795,126.139674,126.139674,123.582308,122.723370,122.018644,121.718559,122.004319,123.724617,124.034290,124.004869,123.977066
1992,111.604358,111.604401,113.299845,117.944755,111.074419,117.916809,118.201428,118.201428,116.086535,115.067262,115.902035,116.221279,115.066225,116.349394,116.865616,116.838263,116.759302
1993,111.407558,111.407590,112.861415,113.861477,106.802287,109.502237,109.780540,109.780540,107.070963,106.070858,107.587658,107.617962,106.074673,107.343704,107.772035,107.745448,107.683390
1994,107.473462,107.473482,108.894117,111.438564,104.043123,106.738986,107.203186,107.203186,104.685238,103.758479,106.358502,106.368181,103.759185,105.170716,105.548292,105.514494,105.403278
1995,110.753364,110.753393,112.056767,116.639042,107.565665,109.858987,110.729309,110.729952,107.588066,106.495098,109.015271,109.037776,106.497923,107.830101,107.971464,107.928771,107.827190
1996,117.253105,117.253134,118.848896,120.291853,111.666925,113.887955,114.741041,114.741897,111.578171,110.585322,112.743432,112.745525,110.589150,111.962350,112.187404,112.170833,112.082314
1997,103.685877,103.685924,105.357337,109.733685,101.748480,104.015013,106.776488,106.777613,103.250803,102.742465,106.787655,104.879439,100.832086,102.142726,102.356408,102.330456,102.244227
1998,91.043358,91.043385,92.231124,97.262149,88.767409,89.939336,91.430913,91.439480,88.540624,88.765311,91.905133,91.907393,88.776809,89.111512,89.596730,89.570278,89.442387
1999,79.162878,79.162886,80.170709,84.366749,78.154657,77.025292,77.601594,77.607859,75.347619,75.171629,77.585514,77.589167,75.183362,75.446471,76.119786,76.103708,75.953833
2000,81.908430,81.915858,83.387390,87.697901,80.011633,80.446417,81.668257,81.685001,79.435089,79.266872,81.490900,81.491921,78.682088,78.999696,79.681575,79.650190,79.488255
2001,87.135000,87.142793,87.941954,90.475606,82.838658,85.447204,86.549149,86.555754,84.652402,84.142015,85.946090,85.947033,83.569129,83.888108,84.741735,84.707170,84.612656
2002,91.202391,91.217856,92.259545,92.985942,83.265864,84.542633,85.245519,85.250606,83.153043,82.827872,85.747475,85.748563,82.258923,82.588319,83.543830,83.507295,83.268902
2003,96.611180,96.625743,97.622499,98.594218,89.620934,88.559871,89.334298,89.342811,86.656656,86.335883,88.395111,88.396103,85.792199,86.149673,87.135255,86.995329,86.954214
2004,96.427550,96.429503,95.727583,96.265157,86.650120,85.395558,86.626091,86.636479,83.863254,83.668432,85.408903,85.409911,83.132249,83.501296,84.680251,84.237335,84.516516
2005,89.441508,89.444318,89.806034,92.961110,84.340731,84.215328,84.691286,84.710938,81.882179,81.890890,83.947863,83.948785,81.718483,81.712183,83.318998,82.302733,82.673598
2006,92.857017,92.859477,93.256241,96.820614,88.145530,87.531072,87.627541,88.514861,84.706255,85.117055,86.417227,86.418136,84.676941,84.678317,85.843432,85.254779,85.686263
2007,91.911624,91.957867,91.321462,94.706344,85.842412,86.136377,87.067839,87.084218,88.993156,89.748105,88.487459,90.002352,83.041327,89.577260,90.753866,90.037980,90.036171
2008,,89.850099,87.895361,93.064336,85.491600,84.817331,85.857149,85.871207,87.948289,88.498058,88.745728,89.042278,82.188330,89.467413,91.551731,90.509472,90.472616
2009,,,75.314786,78.082972,73.238561,72.679826,75.055073,75.058319,75.883833,76.238466,76.888535,75.276626,70.882664,76.335859,77.838628,76.997725,76.956678
2010,,,,76.151694,70.267418,69.213513,69.651420,69.758222,71.228177,71.262713,72.036159,72.268092,66.073730,72.768268,74.251375,72.381835,72.460308
2011,,,,,76.903634,74.549084,74.589437,74.568269,76.860565,76.471767,77.174441,76.917270,73.652149,79.363593,80.436487,79.806839,79.884257
2012,,,,,,73.394503,73.803847,73.783897,75.011428,74.717102,75.218098,74.908103,72.738595,79.099572,80.014532,78.488972,78.525217
2013,,,,,,,64.825888,64.819291,67.689429,66.607352,67.241778,66.902021,64.961771,69.143958,69.612770,68.756755,68.763226
2014,,,,,,,,64.289357,67.438683,66.370918,66.873742,66.728906,65.072199,67.932240,68.631585,68.502567,68.511679
2015,,,,,,,,,68.092129,66.977938,67.088407,67.009733,65.845991,67.483077,67.544331,67.229734,67.230816
2016,,,,,,,,,,64.296387,65.144595,65.126399,63.659870,66.522035,66.259283,65.777138,65.777129
2017,,,,,,,,,,,64.258180,67.315455,66.645550,69.488340,69.128029,68.565043,68.567924
2018,,,,,,,,,,,,65.975889,66.813869,69.719715,69.514357,68.772134,68.777182
2019,,,,,,,,,,,,,64.061567,66.234767,66.118080,65.574206,65.576795
2020,,,,,,,,,,,,,,63.302190,63.205361,62.740669,62.742939
2021,,,,,,,,,,,,,,,66.286136,66.274629,66.269297
2022,,,,,,,,,,,,,,,,64.771178,64.705109
2023,,,,,,,,,,,,,,,,,61.372808
