"Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1989,193.307701,193.309454,193.338985,212.348499,195.541820,207.007450,208.913932,211.193690,208.314327,209.595924,208.946392,208.648616,210.976806,210.970959,208.974144,208.996437,208.986764,208.986764
1990,172.130452,172.131600,176.566133,188.208598,175.642084,178.134394,173.012367,174.730129,170.747617,171.231788,169.430741,169.285873,170.879996,173.463870,176.506904,176.558038,176.535105,176.535105
1991,132.523555,132.525290,136.524499,152.905788,144.128125,146.153087,142.141460,143.584922,141.044142,140.966758,139.883044,139.370253,140.203781,141.915280,142.208210,142.277108,142.258091,142.258091
1992,127.776004,127.776713,129.462666,133.081882,125.197462,132.039852,131.231896,132.731282,130.628300,130.286047,130.803473,131.072277,130.235047,131.509918,132.011249,132.075622,132.002823,132.002823
1993,127.233333,127.233744,128.678246,128.701019,120.543741,123.243691,123.679220,124.817499,122.120282,121.627190,122.860563,122.832305,121.018229,122.278576,122.693801,122.766541,122.709184,122.709184
1994,124.059201,124.059565,125.469921,126.946484,118.432446,121.128309,121.345048,122.609194,120.104278,119.670747,122.006424,121.961462,119.141535,120.542332,120.904659,120.971368,120.868472,120.868523
1995,129.566858,129.567102,130.860641,134.120134,124.023075,126.316397,127.249425,128.585434,125.458817,124.836931,126.983640,127.032856,124.257313,125.582627,125.711850,125.770274,125.675388,125.675413
1996,135.512766,135.513029,137.100151,137.051431,127.397113,129.618143,130.533046,131.938137,128.789646,128.277632,130.067349,130.095925,127.571733,128.935578,129.147248,129.198314,129.117051,129.117088
1997,121.071046,121.071234,122.734144,125.273201,116.201082,118.467615,122.231545,123.514569,120.005114,119.265892,122.957316,121.074674,116.666942,117.962810,118.156416,118.188032,118.114572,118.114614
1998,107.333425,107.333584,108.514390,111.859811,102.626076,103.798004,106.323387,106.812726,103.932313,104.755659,107.531816,107.561544,104.073457,104.398871,104.860488,104.894688,104.783421,104.783738
1999,91.651170,91.651345,92.654678,95.849817,89.398203,88.268837,89.732141,90.442090,88.200238,88.682298,90.749936,90.778178,88.097884,88.357129,89.010048,89.038897,88.898599,88.898641
2000,95.306515,95.314103,96.780756,100.145850,92.422163,92.856947,94.087962,95.189298,92.958044,93.538382,95.427396,95.455761,92.364222,92.668296,93.334042,93.354125,93.206257,93.206292
2001,100.297875,100.305816,101.099969,102.921284,95.242465,97.850781,99.503038,100.376334,98.492346,98.877063,100.325990,100.357071,97.848990,98.150928,98.987941,99.007411,98.928066,98.928323
2002,106.336132,106.351780,107.389391,106.848544,97.056190,98.331406,99.756715,100.653377,98.576140,99.151878,101.698588,101.735332,98.049942,98.356844,99.297707,99.299680,99.068887,99.068987
2003,111.405468,111.420220,112.449813,112.295568,103.292162,102.229401,104.630353,105.735150,103.051065,103.576693,105.261085,105.295172,102.508830,102.844232,103.817986,103.742371,103.707359,103.715335
2004,112.174290,112.176500,111.506934,110.853947,101.167107,99.910293,103.518259,104.572869,101.801594,102.874430,104.234262,104.269757,101.764847,102.109621,103.276914,102.945208,103.232625,103.242876
2005,105.874244,105.877236,106.245026,108.110571,99.415840,99.286385,101.219264,102.411664,99.585255,100.966617,102.660749,102.694473,100.259175,100.241794,101.837062,100.955888,101.336596,101.348172
2006,111.117992,111.120592,111.503841,113.661580,104.914406,103.978941,104.126586,106.164562,102.367154,104.130560,105.045093,105.082793,103.193178,103.180297,104.296047,103.846021,104.290000,104.302927
2007,110.883358,110.906623,110.252066,111.859928,102.942531,103.234978,103.314603,104.523542,106.449066,108.559693,106.888057,108.440493,101.360332,107.886681,109.019590,108.487731,108.496600,102.925365
2008,,105.553001,103.561880,107.710355,100.093991,99.417739,99.950921,101.051908,103.112282,105.365398,105.188999,105.534579,98.580323,105.851799,107.894495,107.036959,106.997317,98.573608
2009,,,86.238802,88.226264,83.372263,82.810670,84.419145,85.295669,86.113590,87.205423,87.601364,86.024136,81.554215,87.002447,88.482225,87.847670,87.805755,90.236871
2010,,,,86.858718,80.939051,79.879806,79.727182,80.794429,82.265519,83.551258,84.021845,84.289722,77.943429,84.632654,86.094088,84.409720,84.487905,79.917431
2011,,,,,87.962883,85.604527,84.802167,86.130817,88.455720,89.343218,89.737259,89.518246,86.047456,91.754477,92.803518,92.313632,92.390705,83.998256
2012,,,,,,83.860593,83.183572,84.611176,85.888550,86.320925,86.533883,86.255693,83.882255,90.239246,91.126708,89.810360,89.847713,82.421667
2013,,,,,,,73.437393,74.054078,76.954058,76.829198,77.179922,76.875894,74.749877,78.929516,79.365576,78.788140,78.795467,72.938252
2014,,,,,,,,74.009940,77.195557,77.160487,77.546400,77.432417,75.594475,78.453481,79.126881,79.325713,79.335350,72.944527
2015,,,,,,,,,78.013493,77.788220,77.770193,77.725630,76.361515,77.996265,78.031914,78.044173,78.045991,73.425610
2016,,,,,,,,,,75.051657,75.797563,75.812802,74.152250,77.011532,76.714540,76.586286,76.586917,71.969052
2017,,,,,,,,,,,74.997908,78.077490,77.203113,80.042942,79.648909,79.428875,79.432341,75.152709
2018,,,,,,,,,,,,76.951219,77.608829,80.516214,80.279683,79.868321,79.874419,75.521938
2019,,,,,,,,,,,,,74.846270,77.030616,76.885222,76.686890,76.690357,72.358085
2020,,,,,,,,,,,,,,74.138009,74.026534,73.943447,73.946381,68.289857
2021,,,,,,,,,,,,,,,77.190584,77.505771,77.501266,72.501609
2022,,,,,,,,,,,,,,,,73.251014,73.186026,68.414966
2023,,,,,,,,,,,,,,,,,67.866018,64.386591
2024,,,,,,,,,,,,,,,,,,64.574261
