"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1989,4.949594,0.807847,2.924583
1990,6.433515,0.592193,3.143750
1991,5.307319,0.549760,2.472186
1992,3.667280,0.600799,3.669082
1993,3.247497,0.560671,3.113376
1994,3.660974,0.676505,3.199935
1995,3.096452,0.636963,3.148965
1996,4.309727,0.851760,4.943185
1997,4.514809,0.834600,4.345173
1998,4.435001,0.885941,4.208714
1999,3.653389,0.824225,3.323355
2000,3.746952,0.890843,3.540923
2001,4.985673,1.036687,4.516675
2002,5.000486,1.083987,4.707303
2003,5.096840,1.208362,5.377715
2004,5.317477,1.112598,5.711937
2005,5.682239,1.633842,4.342687
2006,5.742031,1.749631,4.642498
2007,5.938449,1.668085,4.523765
2008,6.598839,1.848740,5.203343
2009,6.911454,1.870067,5.120960
2010,6.364830,1.710169,4.918513
2011,6.441179,1.771412,4.851661
2012,7.347579,2.214171,4.563085
2013,6.854230,2.034246,5.130391
2014,7.371615,2.176765,5.262825
2015,7.323094,2.208850,5.350660
2016,7.937987,2.390414,5.659548
2017,8.691931,2.512986,5.829529
2018,9.142285,2.573311,5.852693
2019,9.174967,2.548207,6.165724
2020,9.176901,2.260880,6.037075
2021,9.761267,2.469123,6.293486
2022,10.580457,2.732293,6.835325
2023,11.444834,2.684744,7.067473
