"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1989,-14.469500,-2.058482,-0.679975,-2.565684,0.024254
1990,-20.108406,-2.078449,-0.687462,-2.631756,0.024254
1991,-21.214667,-2.100978,-0.696097,-2.617806,0.024254
1992,-22.035877,-2.123432,-0.704751,-2.603888,0.024254
1993,-22.932865,-2.146211,-0.713426,-2.589991,0.024254
1994,-23.511636,-2.169583,-0.722121,-2.576140,0.024254
1995,-22.931486,-2.193414,-0.730836,-2.562322,0.024254
1996,-22.215388,-2.217837,-0.739571,-2.548536,0.024254
1997,-22.582490,-2.242720,-0.748326,-2.534784,0.024254
1998,-24.286024,-2.267927,-0.757101,-2.521064,0.024254
1999,-23.419196,-2.293327,-0.765896,-2.507378,0.024254
2000,-23.084645,-2.318821,-0.774651,-2.497874,0.024254
2001,-23.880964,-2.344503,-0.783426,-2.488400,0.024254
2002,-21.653054,-2.370317,-0.792219,-2.478958,0.024254
2003,-21.418830,-2.396281,-0.801031,-2.469547,0.024254
2004,-20.971491,-2.422396,-0.809862,-2.460167,0.024254
2005,-22.320926,-2.448607,-0.818702,-2.451387,0.024254
2006,-22.321413,-2.473725,-0.827118,-2.468127,0.024254
2007,-21.337130,-2.498847,-0.835544,-2.484884,0.024254
2008,-21.742273,-2.523938,-0.843980,-2.501658,0.024254
2009,-21.957612,-2.549016,-0.852427,-2.518449,0.024254
2010,-21.631503,-2.574057,-0.860884,-2.536433,0.024254
2011,-20.259887,-2.599074,-0.869351,-2.554435,0.024254
2012,-19.738843,-2.624355,-0.877984,-2.562838,0.024254
2013,-19.633445,-5.195259,-0.888488,-2.547880,0.024254
2014,-20.757532,-5.198664,-0.899009,-2.532937,0.024254
2015,-20.521579,-5.201037,-0.909495,-2.520615,0.024254
2016,-21.277334,-5.202491,-0.919996,-2.508317,0.024254
2017,-20.286680,-5.203175,-0.930512,-2.496044,0.024254
2018,-19.265828,-1.102612,-0.941043,-2.483796,0.024254
2019,-19.765016,-1.099791,-0.951589,-2.471573,0.024254
2020,-19.324247,-1.097522,-0.962223,-2.455246,0.024254
2021,-19.002010,-1.095951,-0.972873,-2.438947,0.024254
2022,-18.633705,-1.094941,-0.983540,-2.422675,0.024254
2023,-19.576664,-1.094559,-0.994223,-2.406430,0.024254
2024,-20.145873,-1.094636,-1.004923,-2.390211,0.024254
