"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,"NaN",0.070000,"NaN","NaN","NaN","NaN","NaN"
2016,"NaN",0.200000,"NaN","NaN","NaN","NaN","NaN"
2017,"NaN",0.030000,"NaN","NaN","NaN",0,"NaN"
2018,"NaN",0.060000,"NaN","NaN","NaN",0,"NaN"
2019,"NaN",0,"NaN","NaN","NaN",0.010000,"NaN"
2020,"NaN",0.110000,"NaN","NaN","NaN",0.010000,"NaN"
2021,"NaN",0.240000,"NaN","NaN","NaN",0.010000,"NaN"
2022,"NaN",-0.190000,"NaN","NaN","NaN",0.010000,"NaN"
2023,"NaN",0.090000,"NaN","NaN","NaN",0.030000,"NaN"
2024,"NaN",0.160000,"NaN","NaN","NaN",0.030000,"NaN"
