"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,"NaN","NaN",0.050000,"NaN","NaN",0.020000,"NaN"
2021,"NaN","NaN",-0.060000,"NaN",0.010000,0,"NaN"
2022,"NaN","NaN",0.040000,"NaN",0,0.050000,"NaN"
2023,"NaN",0.110000,-0.010000,"NaN",0.010000,0,"NaN"
