"Year","South Korea","World"
1950,0.056736,2.378734
1951,0.023607,2.515504
1952,0.056589,2.502896
1953,0.082846,2.524970
1954,0.082690,2.527923
1955,0.117497,2.716614
1956,0.157699,2.835461
1957,0.205042,2.869636
1958,0.216907,2.891376
1959,0.324933,2.985590
1960,0.407156,3.112931
1961,0.435496,3.071906
1962,0.537813,3.120741
1963,0.625504,3.215595
1964,0.665284,3.315825
1965,0.695517,3.391959
1966,0.773393,3.484865
1967,0.810486,3.523155
1968,0.652947,3.640223
1969,0.640994,3.802135
1970,0.785097,4.032588
1971,0.792867,4.112597
1972,0.753388,4.219747
1973,0.749387,4.355556
1974,0.812204,4.253289
1975,0.903465,4.173319
1976,0.818449,4.310191
1977,0.844913,4.352449
1978,0.828729,4.432504
1979,0.826291,4.465701
1980,0.835636,4.364099
1981,0.878692,4.168842
1982,0.874715,4.060496
1983,0.849705,4.023942
1984,0.900812,4.068703
1985,0.937541,4.137420
1986,0.994888,4.122175
1987,0.981548,4.179654
1988,0.968645,4.262697
1989,0.817243,4.241189
1990,0.683595,4.266701
1991,0.593060,4.282473
1992,0.469135,4.090168
1993,0.366793,4.068620
1994,0.286905,4.047994
1995,0.220668,4.083544
1996,0.189870,4.148108
1997,0.200716,4.114970
1998,0.188929,4.044522
1999,0.184993,4.079117
2000,0.195675,4.133621
2001,0.176266,4.107635
2002,0.154227,4.144280
2003,0.151073,4.307030
2004,0.142905,4.399256
2005,0.156220,4.493561
2006,0.155297,4.585831
2007,0.157460,4.661509
2008,0.144233,4.682571
2009,0.155263,4.545518
2010,0.140517,4.744937
2011,0.136285,4.848876
2012,0.132817,4.854014
2013,0.116571,4.837742
2014,0.117302,4.804597
2015,0.104557,4.739116
2016,0.102959,4.682487
2017,0.108001,4.705259
2018,0.098780,4.752195
2019,0.091653,4.747814
2020,0.096426,4.457744
2021,0.095820,4.634748
2022,0.096357,4.678452
2023,0.087105,4.707772
2024,0.096908,4.729075
