"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,31.003280,,
1991,35.565685,,
1992,40.658542,,
1993,49.012798,,
1994,51.588785,,
1995,58.724206,,
1996,64.345627,,
1997,68.934215,,
1998,52.747088,,
1999,58.137678,,
2000,64.632064,,
2001,67.662280,,
2002,72.609919,,
2003,75.220124,,
2004,75.937620,,
2005,76.998689,,
2006,77.908609,,
2007,80.299106,,
2008,77.807429,,
2009,78.561379,,
2010,80.128382,,
2011,79.797839,,
2012,81.253971,,
2013,83.829176,,
2014,84.412362,,
2015,88.971963,,
2016,93.285232,,
2017,92.833278,,
2018,92.935860,,
2019,95.703317,,
2020,91.469146,,
2021,93.584509,,
2022,92.670819,,
