"Year","Electricity generation","Chemicals","Non-metallic minerals","Manufacturing industries and construction: Other","Road transportation","Commercial/institutional: Stationary combustion","All other Other sectors","All others"
1990,0,0,0,0,0,0.014356,0,0
1991,0,0,0,0,0,0.020223,0,0
1992,0,0,0,0,0,0.012324,0,0
1993,0,0,0,0,0,0.015536,0,0
1994,0,0,0,0,0,0.016076,0,0
1995,0,0,0,0.139832,0,0.180318,0.085194,0
1996,0,0,0,0.053414,0,0.220083,0.021563,0
1997,0,0,0.006864,0.117343,0,0.330181,0.118785,0
1998,0,0,0.022925,0.241334,0,0.238566,0.100328,0
1999,0,0,0.064190,0.272812,0,0.286171,0.095098,0
2000,0,0,0.534317,0.245529,0,0.232500,0.179228,0
2001,0.003147,0,0.500145,0.259581,0,1.355851,0.176068,0.001228
2002,0.040480,0,0.266135,0.358983,0,1.797102,0.199474,0.025969
2003,0.053783,0,0.371106,0.407586,0,1.958166,0.181549,0.025342
2004,0.081708,0,0.537599,0.370341,0,2.167751,0.142489,0.021716
2005,0.074178,0.002276,0.450790,0.392507,0,2.161148,0.206054,0.813388
2006,0.088366,0.039282,0.530846,0.427983,0.119858,2.418293,0.211113,0.661100
2007,0.151887,0.040724,0.536426,0.440979,0.262929,2.869149,0.181935,0.669801
2008,0.204525,0,0.764165,0.512269,0.489718,2.896195,0.172820,0.677608
2009,0.224025,0,0.730630,0.510024,0.721407,3.178007,0.430356,0.434159
2010,0.200076,0.084725,0.831382,0.720050,0.989359,3.694572,0.197425,0.405812
2011,0.214989,0.292735,0.916571,0.785229,0.959407,3.250461,0.213710,1.277084
2012,0.364620,0.161025,1.020977,0.954129,0.990055,3.856015,0.338871,1.411086
2013,1.040870,0.205917,1.209679,0.995764,1.040392,0.983439,0.389850,4.228203
2014,3.392798,0.274175,1.134648,1.961914,1.094385,4.287327,0.111501,3.316589
2015,4.495198,0.139792,1.157679,1.827807,1.223911,3.379041,0.720770,3.040536
2016,2.643931,0.591437,1.095874,2.816559,1.452736,3.603095,1.052948,2.343698
2017,4.456283,1.380408,0.895502,1.845303,1.556751,3.592990,3.255005,2.286032
2018,4.978223,3.348182,0.848166,1.935992,1.893107,4.090215,3.179584,1.843565
2019,5.579647,2.564710,0.942175,2.943024,1.892020,3.542223,1.108034,2.012472
2020,5.165717,2.164761,0.989660,2.824636,1.918831,3.748378,1.138930,1.805158
2021,5.738914,3.679706,1.153582,2.527292,1.943183,3.874875,0.950436,2.037817
2022,6.738013,3.014221,1.333216,2.724975,1.880782,3.417255,1.199657,1.789328
