"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,271.615093,256.216008,46.817789,6.333868,1.210673,-38.963246
1991,306.225601,286.190988,47.134112,6.744654,1.171516,-35.015669
1992,334.622720,310.353516,47.269468,8.863544,2.323043,-34.186851
1993,374.169228,347.747491,47.130252,9.309214,2.615194,-32.632922
1994,397.753215,372.197714,47.350739,10.044890,3.175939,-35.016068
1995,431.236447,401.672091,47.099732,10.901911,4.823900,-33.261186
1996,464.394647,437.066425,47.050009,11.866498,5.096205,-36.684490
1997,484.380562,457.947281,47.028106,12.784215,8.304327,-41.683366
1998,410.168458,395.004075,45.635722,13.009243,6.570650,-50.051232
1999,442.315488,430.541962,44.850678,13.910736,11.266241,-58.254129
2000,473.061308,462.622898,44.629472,14.854312,11.346791,-60.392164
2001,490.089665,482.256235,44.909870,15.125613,8.520760,-60.722813
2002,512.616420,500.515367,44.518408,15.148704,10.795290,-58.361350
2003,526.402433,512.504254,44.251430,17.855853,9.864477,-58.073581
2004,536.330063,521.860647,42.439640,20.002877,11.461431,-59.434531
2005,536.941522,521.261424,42.147772,18.796961,12.215945,-57.480581
2006,548.343581,533.407910,41.863794,18.074754,13.661744,-58.664621
2007,554.265500,546.650855,41.119745,10.654194,15.204052,-59.363347
2008,568.477011,561.050640,40.766961,9.975390,16.972967,-60.288948
2009,572.586644,564.255153,40.751123,10.284284,17.364772,-60.068688
2010,632.427783,618.047377,40.620556,10.597577,20.523648,-57.361375
2011,665.101194,652.029527,39.480900,9.730192,20.397585,-56.537010
2012,669.678633,648.655618,38.887543,10.200157,22.497832,-50.562518
2013,682.146303,654.661837,38.137312,10.206562,25.403407,-46.262815
2014,677.165027,647.520096,37.973340,10.237027,28.577174,-47.142611
2015,678.331900,651.088834,37.783767,10.092506,27.139694,-47.772901
2016,689.192240,661.823140,37.582150,10.318529,27.684144,-48.215722
2017,716.258959,679.647010,37.874192,10.589912,30.996654,-42.848811
2018,742.309944,701.069261,37.164097,10.869220,34.770991,-41.563625
2019,720.742441,675.177404,35.951961,10.992730,37.274662,-38.654316
2020,674.120271,626.722328,35.569060,10.691078,39.976309,-38.838505
2021,701.974875,652.481146,35.340317,10.799341,42.355287,-39.001215
2022,686.461911,635.818442,35.150764,10.700904,42.623953,-37.832151
