"Year","South Korea","World"
1950,0.110525,2.378734
1951,0.147156,2.515504
1952,0.171149,2.502896
1953,0.225912,2.524970
1954,0.240884,2.527923
1955,0.291286,2.716614
1956,0.330281,2.835461
1957,0.347169,2.869636
1958,0.368089,2.891376
1959,0.443564,2.985590
1960,0.480181,3.112931
1961,0.538068,3.071906
1962,0.627483,3.120741
1963,0.749077,3.215595
1964,0.772140,3.315825
1965,0.852958,3.391959
1966,1.004567,3.484865
1967,1.151415,3.523155
1968,1.193161,3.640223
1969,1.333267,3.802135
1970,1.650668,4.032588
1971,1.760951,4.112597
1972,1.775290,4.219747
1973,2.107525,4.355556
1974,2.140985,4.253289
1975,2.276351,4.173319
1976,2.559229,4.310191
1977,2.862359,4.352449
1978,3.034158,4.432504
1979,3.523497,4.465701
1980,3.527019,4.364099
1981,3.607978,4.168842
1982,3.577125,4.060496
1983,3.728253,4.023942
1984,3.958305,4.068703
1985,4.101140,4.137420
1986,4.225876,4.122175
1987,4.379707,4.179654
1988,4.914698,4.262697
1989,5.135246,4.241189
1990,5.682911,4.266701
1991,6.203724,4.282473
1992,6.716251,4.090168
1993,7.355551,4.068620
1994,7.881414,4.047994
1995,8.456662,4.083544
1996,9.224541,4.148108
1997,9.685519,4.114970
1998,8.177171,4.044522
1999,8.828289,4.079117
2000,9.407999,4.133621
2001,9.685311,4.107635
2002,10.064984,4.144280
2003,10.211962,4.307030
2004,10.302297,4.399256
2005,10.421550,4.493561
2006,10.487705,4.585831
2007,10.828748,4.661509
2008,11.015083,4.682571
2009,11.078404,4.545518
2010,12.186739,4.744937
2011,12.690266,4.848876
2012,12.660249,4.854014
2013,12.673576,4.837742
2014,12.453072,4.804597
2015,12.438772,4.739116
2016,12.435496,4.682487
2017,12.712851,4.705259
2018,12.977481,4.752195
2019,12.480764,4.747814
2020,11.524330,4.457744
2021,11.882238,4.634748
2022,11.719734,4.678452
2023,11.385369,4.707772
2024,11.285893,4.729075
