"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-38.198710,,,,
1991,-34.139389,,,,
1992,-33.517798,,,,
1993,-31.948121,,,,
1994,-34.352767,,,,
1995,-33.080296,,,,
1996,-37.006742,,,,
1997,-41.917894,,,,
1998,-50.579298,,,,
1999,-58.308458,,,,
2000,-61.335530,,,,
2001,-60.893623,,,,
2002,-58.801348,,,,
2003,-58.317155,,,,
2004,-59.581985,,,,
2005,-57.636322,,,,
2006,-59.148878,,,,
2007,-60.217663,,,,
2008,-61.443443,,,,
2009,-61.250068,,,,
2010,-58.800586,,,,
2011,-57.720614,,,,
2012,-51.517348,,,,
2013,-47.018312,,,,
2014,-47.825989,,,,
2015,-48.469322,,,,
2016,-48.696983,,,,
2017,-43.798973,,,,
2018,-42.659727,,,,
2019,-40.232393,,,,
2020,-40.492492,,,,
2021,-40.359209,,,,
2022,-41.177286,,,,
