"YYYYMM","Diesel"
201001,0
201002,0
201003,0
201004,0.515907
201005,0.515907
201006,0.281906
201007,0.534332
201008,0
201009,0.729640
201010,0.092126
201011,0
201012,0
201101,0.154772
201102,0.460631
201103,0
201104,0.169512
201105,0
201106,0
201107,0
201108,0.099496
201109,0.353765
201110,0
201111,0.095811
201112,1.179216
201201,0
201202,0.271588
201203,0
201204,0
201205,0.154772
201206,0.095811
201207,0
201208,0.187938
201209,0.095811
201210,0
201211,0.184253
201212,0.099496
201301,0.092126
201302,0.110552
201303,0
201304,0.510379
201305,0.073701
201306,0.147402
201307,0.169512
201308,0.147402
201309,0
201310,0
201311,0
201312,0
201401,0
201402,0.147402
201403,0.165827
201404,0.095811
201405,0
201406,0.239528
201407,0
201408,0.158457
201409,0.147402
201410,0
201411,0
201412,0
201501,0
201502,0
201503,0.176882
201504,0.335340
201505,0
201506,0.092126
201507,0.018425
201508,0.191623
201509,0
201510,0.154772
201511,0
201512,0
201601,0
201602,0
201603,0.158457
201604,0
201605,0
201606,0
201607,0.339025
201608,0
201609,0
201610,0
201611,0.156615
201612,0
201701,0
201702,0
201703,0
201704,0.154772
201705,0
201706,0.136347
201707,0
201708,0
201709,0
201710,0.339025
201711,0
201712,0.151087
201801,0
201802,0
201803,0
201804,0.154772
201805,0.162142
201806,0.169512
201807,0
201808,0.291119
201809,0
201810,0.169512
201811,0.335340
201812,0.154772
201901,0
201902,0
201903,0.305859
201904,0
201905,0.162142
201906,0.309544
201907,0.154772
201908,0
201909,0
201910,0
201911,0
201912,0
202001,0
202002,0
202003,0
202004,0
202005,0.147402
202006,0
202007,0
202008,0.294804
202009,0.162142
202010,0
202011,0
202012,0
202101,0.136347
202102,0
202103,0.147402
202104,0
202105,0.147402
202106,0.147402
202107,0.110552
202108,0
202109,0
202110,0
202111,0
202112,0.294804
202201,0
202202,0.100418
202203,0.296389
202204,0.633829
202205,0
202206,0.552758
202207,0
202208,0.320599
202209,0.305859
202210,0.138153
202211,0
202212,0
202301,0.158457
202302,0
202303,0
202304,0
202305,0
202306,0.456946
202307,0
202308,0
202309,0
202310,0
202311,0
202312,0
202401,0
202402,0.033165
202403,0
202404,0
202405,0
202406,0.286107
202407,0
202408,0
202409,0
202410,0
202411,0
202412,0
202501,0
202502,0
202503,0
202504,0.268382
