"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,0.010000,"NaN","NaN","NaN","NaN","NaN","NaN"
2016,0.010000,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,0.030000,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,0.040000,"NaN","NaN","NaN",0.020000,"NaN","NaN"
2019,0.060000,"NaN","NaN","NaN",0.010000,"NaN","NaN"
2020,0.030000,"NaN","NaN","NaN",0.020000,"NaN","NaN"
2021,0.090000,"NaN","NaN","NaN",0,"NaN","NaN"
2022,0,"NaN","NaN","NaN",0,"NaN","NaN"
2023,0.030000,"NaN","NaN","NaN",0,"NaN","NaN"
2024,0.040000,"NaN","NaN","NaN",0,"NaN","NaN"
