"Year","Brazil","World"
1950,0.364358,2.372741
1951,0.389619,2.509281
1952,0.435280,2.496828
1953,0.427245,2.519009
1954,0.487865,2.522133
1955,0.542634,2.710743
1956,0.566301,2.829705
1957,0.539658,2.864250
1958,0.568173,2.886446
1959,0.550460,2.981084
1960,0.640993,3.109071
1961,0.652277,3.068418
1962,0.690899,3.117449
1963,0.694771,3.212604
1964,0.688359,3.313059
1965,0.665052,3.389338
1966,0.737675,3.482441
1967,0.739254,3.521091
1968,0.842513,3.638560
1969,0.894554,3.800910
1970,0.970098,4.031813
1971,1.036154,4.112250
1972,1.126731,4.219880
1973,1.273895,4.358162
1974,1.347078,4.257539
1975,1.382943,4.190445
1976,1.389270,4.342568
1977,1.424991,4.387958
1978,1.518177,4.445411
1979,1.572134,4.491730
1980,1.522554,4.385349
1981,1.368755,4.204303
1982,1.339160,4.095304
1983,1.266629,4.047822
1984,1.251542,4.114002
1985,1.316761,4.177916
1986,1.412444,4.164586
1987,1.445729,4.215461
1988,1.429877,4.303169
1989,1.432880,4.285587
1990,1.450887,4.275440
1991,1.496017,4.288762
1992,1.498395,4.101485
1993,1.541938,4.079975
1994,1.577844,4.061836
1995,1.643136,4.097368
1996,1.742448,4.164388
1997,1.821151,4.131378
1998,1.855469,4.059213
1999,1.886351,4.096031
2000,1.934246,4.148800
2001,1.942441,4.125716
2002,1.926925,4.162733
2003,1.887129,4.327484
2004,1.956637,4.421495
2005,1.950622,4.515645
2006,1.953552,4.611727
2007,2.047249,4.688505
2008,2.141657,4.708763
2009,2.003804,4.572416
2010,2.242226,4.774950
2011,2.334078,4.878259
2012,2.491823,4.887112
2013,2.639368,4.868795
2014,2.742072,4.830362
2015,2.579841,4.767311
2016,2.382041,4.713752
2017,2.389710,4.735624
2018,2.276190,4.780249
2019,2.235260,4.778430
2020,2.088254,4.479880
2021,2.323639,4.676995
2022,2.247145,4.676281
2023,2.247780,4.697341
