"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,20.212998,2.748124,48.445076
1991,21.856047,2.998115,50.245899
1992,21.839918,3.068562,51.103562
1993,22.769985,3.305594,52.389500
1994,25.134447,3.887480,54.456699
1995,30.002863,4.554450,57.941988
1996,33.672629,5.380345,60.463914
1997,36.706237,5.960452,64.219750
1998,38.316645,6.408690,67.227776
1999,35.730057,6.250733,67.848963
2000,34.611432,6.236409,69.882135
2001,34.358918,6.285393,71.744801
2002,33.547789,6.304378,74.721488
2003,35.858393,6.520870,72.103842
2004,37.272132,6.775372,77.270372
2005,37.819117,6.961642,76.738660
2006,40.494181,7.047393,77.705799
2007,40.456782,6.970504,81.676923
2008,40.540167,7.153681,85.956776
2009,40.014765,7.276049,83.799470
2010,47.195604,8.112188,92.097164
2011,55.698122,8.969346,97.555397
2012,64.807048,10.187947,103.117500
2013,64.440396,10.651057,109.868750
2014,67.719895,11.350122,110.336620
2015,61.164710,11.014234,103.929560
2016,63.774862,11.271158,100.189960
2017,65.754854,11.288977,99.514532
2018,58.172500,10.461291,98.160060
2019,58.054994,10.569871,100.294600
2020,53.978980,10.227066,99.266569
2021,59.440273,11.209089,108.665220
2022,64.848434,11.899789,112.861960
