"Year","Manufacture of solid fuels","Pulp, paper and print","Food processing, beverages and tobacco","Cars","Residential: Stationary combustion","All other Transport","All others"
1990,52.767037,10.464705,28.185819,15.556915,34.604078,1.801551,22.570570
1991,53.155861,10.931569,28.458680,16.226801,34.360325,1.865539,21.367245
1992,50.648679,12.632436,31.213991,15.876116,34.182712,1.821261,18.835972
1993,50.552335,13.722706,31.125175,16.548043,30.062386,1.906990,19.293764
1994,53.775728,14.507641,37.142549,17.659808,29.188956,2.024673,19.498750
1995,50.667496,14.221703,37.869074,18.273817,26.299809,2.080730,19.290442
1996,50.848482,14.376027,39.144028,19.040709,25.644512,2.149641,19.743479
1997,54.384491,14.820020,42.289283,18.397446,25.946948,2.076618,19.223095
1998,48.021478,16.473657,47.434021,18.061408,26.483546,2.035678,18.667716
1999,46.193213,17.694849,50.910523,18.106185,27.303129,2.037183,18.538219
2000,42.483579,18.426561,41.835976,15.489383,28.034714,1.755800,18.322404
2001,42.749032,18.551177,50.533049,14.287677,29.218065,1.645818,17.703414
2002,46.080342,19.942590,56.086592,16.138370,32.569817,1.896961,17.870393
2003,51.401108,22.510677,62.605951,15.336681,33.968311,1.830673,19.895986
2004,57.540751,23.565931,63.947109,17.011905,34.451519,2.083696,21.304476
2005,60.026707,25.261653,65.533955,18.451026,35.157896,2.182359,21.703702
2006,63.284122,27.191272,74.810752,17.216731,35.253288,1.861564,22.571188
2007,71.483476,28.944015,79.434879,23.030429,33.471171,3.245655,23.509820
2008,83.775353,30.749662,76.414103,29.444457,33.107214,5.322332,26.079267
2009,72.919145,32.738223,80.560476,31.486578,32.638735,6.473012,24.358861
2010,78.260423,35.187219,90.466371,32.002131,31.295302,8.084731,26.728282
2011,69.152692,35.620762,89.077188,28.256701,28.104776,8.350586,27.887404
2012,73.215701,35.002247,90.638494,26.015710,27.951682,8.502954,28.490642
2013,82.938314,36.988197,87.669773,31.159765,24.694419,9.526321,30.314728
2014,85.641620,40.195756,82.974477,34.034253,26.500666,10.831596,31.480088
2015,89.306923,43.011400,79.819789,40.365951,27.379294,12.736747,30.585747
2016,84.882325,45.678723,87.914622,36.211158,26.103181,12.237662,27.955740
2017,84.170354,47.751500,86.786864,36.071201,27.589567,13.121135,30.459412
2018,96.290148,50.650354,68.961710,41.137181,30.724371,15.726514,30.758449
2019,100.926014,48.089799,68.821564,45.826341,30.051047,17.256135,31.742600
2020,96.210166,50.516573,91.330347,40.152437,30.561802,17.493883,32.074350
2021,89.765811,53.155781,79.570548,38.760516,31.522927,18.218542,33.126018
2022,84.364070,58.166327,82.033946,39.532767,31.721939,17.533574,32.543197
