"Year","Brazil","World"
1950,0.081360,2.378734
1951,0.081737,2.515504
1952,0.079630,2.502896
1953,0.080880,2.524970
1954,0.078874,2.527923
1955,0.071391,2.716614
1956,0.078018,2.835461
1957,0.110437,2.869636
1958,0.155331,2.891376
1959,0.177244,2.985590
1960,0.205858,3.112931
1961,0.227490,3.071906
1962,0.222395,3.120741
1963,0.227392,3.215595
1964,0.215238,3.315825
1965,0.227962,3.391959
1966,0.257803,3.484865
1967,0.305568,3.523155
1968,0.322959,3.640223
1969,0.340105,3.802135
1970,0.314370,4.032588
1971,0.322682,4.112597
1972,0.311133,4.219747
1973,0.304588,4.355556
1974,0.330623,4.253289
1975,0.306186,4.173319
1976,0.304979,4.310191
1977,0.303276,4.352449
1978,0.308053,4.432504
1979,0.317314,4.465701
1980,0.336885,4.364099
1981,0.367574,4.168842
1982,0.430469,4.060496
1983,0.516139,4.023942
1984,0.672885,4.068703
1985,0.762435,4.137420
1986,0.778137,4.122175
1987,0.755503,4.179654
1988,0.735901,4.262697
1989,0.753478,4.241189
1990,0.730403,4.266701
1991,0.720703,4.282473
1992,0.720438,4.090168
1993,0.729267,4.068620
1994,0.751094,4.047994
1995,0.766696,4.083544
1996,0.844004,4.148108
1997,0.896935,4.114970
1998,1.004009,4.044522
1999,1.115701,4.079117
2000,1.233839,4.133621
2001,1.261469,4.107635
2002,1.401919,4.144280
2003,1.435027,4.307030
2004,1.428610,4.399256
2005,1.537695,4.493561
2006,1.600252,4.585831
2007,1.606580,4.661509
2008,1.682865,4.682571
2009,1.742657,4.545518
2010,1.832090,4.744937
2011,1.874083,4.848876
2012,1.864999,4.854014
2013,1.853476,4.837742
2014,2.025069,4.804597
2015,2.136309,4.739116
2016,2.181417,4.682487
2017,2.267325,4.705259
2018,2.208067,4.752195
2019,2.339471,4.747814
2020,2.426060,4.457744
2021,2.393332,4.634748
2022,2.451094,4.678452
2023,2.716784,4.707772
2024,2.679897,4.729075
