"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-46.104170,,,,
1991,-68.821221,,,,
1992,-121.838987,,,,
1993,-143.389121,,,,
1994,-156.132781,,,,
1995,-80.901507,,,,
1996,-134.193199,,,,
1997,-160.074219,,,,
1998,-148.102757,,,,
1999,-180.718292,,,,
2000,-184.941572,,,,
2001,-192.661542,,,,
2002,-191.850038,,,,
2003,-200.875798,,,,
2004,-200.231446,,,,
2005,-271.158687,,,,
2006,-274.284430,,,,
2007,-336.321856,,,,
2008,-330.187200,,,,
2009,-392.022917,,,,
2010,-400.099308,,,,
2011,-348.006605,,,,
2012,-363.386091,,,,
2013,-341.893234,,,,
2014,-356.405165,,,,
2015,-348.474505,,,,
2016,-347.304388,,,,
2017,-359.369194,,,,
2018,-355.050297,,,,
2019,-337.930021,,,,
2020,-328.950561,,,,
2021,-309.263232,,,,
2022,-314.613496,,,,
