"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
2015,,,,,,,,,,,,,,,46.777502,46.665206,46.677049,46.627613,46.614820,46.653470,46.717404,46.566926,46.566912,46.563665
2016,,,,,,,,,,,,,,,,47.578183,47.430303,47.395710,47.072006,47.113086,47.178501,47.039147,47.039120,47.033814
2017,,,,,,,,,,,,,,,,,49.645984,49.684847,49.452258,49.515229,49.580326,49.423533,49.423522,49.424547
2018,,,,,,,,,,,,,,,,,,49.628491,49.407953,49.463319,49.534410,49.376218,49.366231,49.367416
2019,,,,,,,,,,,,,,,,,,,49.079712,49.234646,49.310485,49.165747,49.158952,49.159852
2020,,,,,,,,,,,,,,,,,,,,47.284497,47.335469,47.107428,47.105319,47.106096
2021,,,,,,,,,,,,,,,,,,,,,48.563856,48.330958,48.326281,48.327082
2022,,,,,,,,,,,,,,,,,,,,,,45.279836,45.267341,45.266093
2023,,,,,,,,,,,,,,,,,,,,,,,40.343866,40.337533
2024,,,,,,,,,,,,,,,,,,,,,,,,39.482354
