"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,65.670012,20.865958,13.508634,8.935894,21.971611,0.387916,,
1991,64.299377,21.731563,11.742677,7.841943,22.686333,0.296860,,
1992,57.317644,22.494801,9.591702,7.563234,17.285902,0.382006,,
1993,57.745597,23.056244,8.982147,7.558926,18.099852,0.048429,,
1994,55.656890,22.251248,8.309755,7.365367,17.352335,0.378185,,
1995,55.288436,22.719680,8.230334,7.531920,16.370945,0.435557,,
1996,57.146366,23.079484,8.547272,7.516663,17.624867,0.378080,,
1997,56.369374,25.078211,6.406550,7.921006,16.853159,0.110448,,
1998,56.091054,26.701211,5.697436,8.744299,14.867799,0.080309,,
1999,56.479460,26.428496,5.160835,9.233144,15.592378,0.064606,,
2000,52.928739,23.807549,4.555098,9.141600,15.360026,0.064466,,
2001,54.875054,24.118331,4.906817,9.611508,16.198826,0.039572,,
2002,53.674958,22.474003,4.937515,10.234992,15.998247,0.030201,,
2003,56.610918,23.724340,4.685755,10.725711,17.460556,0.014556,,
2004,54.835635,21.807029,4.514239,11.157598,17.342214,0.014556,,
2005,54.487431,19.937947,4.585322,12.087433,17.862173,0.014556,,
2006,53.862577,20.231224,4.410158,12.856232,16.354065,0.010898,,
2007,52.588020,21.456062,4.413796,13.147833,13.559430,0.010898,,
2008,51.705237,20.487983,4.385906,13.132386,13.688064,0.010898,,
2009,47.172221,17.323835,3.184537,13.048735,13.604215,0.010898,,
2010,47.659551,18.004664,3.352922,11.733095,14.557978,0.010892,,
2011,45.877218,17.284692,3.415497,11.109785,14.048858,0.018386,,
2012,42.859327,16.755700,2.939087,10.780975,12.365237,0.018328,,
2013,40.345849,14.074080,3.863830,10.056518,12.333107,0.018313,,
2014,39.901490,13.416327,3.905312,11.231287,11.330253,0.018311,,
2015,42.485627,13.777462,4.135252,12.271122,12.234696,0.067094,,
2016,43.326178,13.532768,4.622381,12.320830,12.781480,0.068718,,
2017,44.956302,13.846231,4.954485,13.137530,12.950103,0.067955,,
2018,44.650506,13.093121,5.228372,13.966794,12.285454,0.076766,,
2019,44.560558,12.581326,5.154889,14.817104,11.939162,0.068077,,
2020,42.498366,12.335217,4.871800,12.681565,12.535541,0.074243,,
2021,44.023954,11.497360,5.120234,14.051319,13.248892,0.106150,,
2022,42.129895,10.736781,4.627719,15.176141,11.516228,0.073026,,
2023,37.498933,9.243492,4.077325,14.065629,10.050143,0.062344,,
2024,36.665939,8.722383,4.079703,14.016216,9.765803,0.081834,,
