"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.920877,0.805142,2.073851
1991,4.456021,0.747608,1.778954
1992,4.379150,0.628015,1.801097
1993,4.589918,0.566189,1.680974
1994,4.517862,0.573447,1.566376
1995,4.519998,0.601706,1.690451
1996,4.293616,0.618843,1.863956
1997,4.382770,0.732661,2.087064
1998,4.475591,0.932049,2.620892
1999,4.578021,1.125924,2.778481
2000,4.543551,1.086983,2.833916
2001,4.810563,1.239459,2.891010
2002,5.079536,1.480348,2.991528
2003,5.409315,1.579060,3.031627
2004,5.647888,1.676391,3.137928
2005,5.963288,1.950892,3.468507
2006,6.129511,2.353318,3.702239
2007,6.457699,2.562164,3.496724
2008,6.439289,2.613586,3.396294
2009,6.563077,2.576125,3.292188
2010,5.838526,2.242544,3.079747
2011,5.310411,2.235126,3.042364
2012,5.441933,1.615449,3.195705
2013,4.858967,1.526886,3.179192
2014,5.535090,1.625516,3.536946
2015,6.059419,1.748158,3.941662
2016,6.314637,1.717120,3.730094
2017,6.646433,1.764218,4.094429
2018,7.148394,1.780618,4.362489
2019,7.875775,1.978454,4.243939
2020,6.871217,1.742152,3.471996
2021,7.513786,1.992273,3.980057
2022,8.095870,2.194033,4.302009
2023,7.642710,1.995165,3.891193
2024,7.664849,2.000160,3.818871
