"Year","Hungary","World"
1950,1.969437,2.372741
1951,2.354372,2.509281
1952,2.862871,2.496828
1953,3.310978,2.519009
1954,3.504458,2.522133
1955,3.634672,2.710743
1956,3.365342,2.829705
1957,3.908046,2.864250
1958,3.972088,2.886446
1959,4.217287,2.981084
1960,4.540728,3.109071
1961,4.880376,3.068418
1962,5.022364,3.117449
1963,5.576313,3.212604
1964,6.163743,3.313059
1965,6.038361,3.389338
1966,6.064150,3.482441
1967,5.757992,3.521091
1968,5.963607,3.638560
1969,6.065315,3.800910
1970,6.779649,4.031813
1971,6.689719,4.112250
1972,6.683327,4.219880
1973,7.009720,4.358162
1974,7.076040,4.257539
1975,7.155308,4.190445
1976,7.551125,4.342568
1977,7.814613,4.387958
1978,8.253298,4.445411
1979,8.047732,4.491730
1980,8.101690,4.385349
1981,8.091948,4.204303
1982,8.134485,4.095304
1983,8.373783,4.047822
1984,8.567012,4.114002
1985,8.245165,4.177916
1986,8.136855,4.164586
1987,8.167962,4.215461
1988,7.815182,4.303169
1989,7.685567,4.285587
1990,7.076662,4.275440
1991,6.730273,4.288762
1992,6.005823,4.101485
1993,6.081759,4.079975
1994,5.983152,4.061836
1995,5.951692,4.097368
1996,6.119655,4.164388
1997,5.995977,4.131378
1998,5.969750,4.059213
1999,6.018924,4.096031
2000,5.709086,4.148800
2001,5.878171,4.125716
2002,5.798154,4.162733
2003,6.089233,4.327484
2004,5.942340,4.421495
2005,5.970310,4.515645
2006,5.919081,4.611727
2007,5.820893,4.688505
2008,5.705028,4.708763
2009,5.141339,4.572416
2010,5.206130,4.774950
2011,5.039161,4.878259
2012,4.708685,4.887112
2013,4.394958,4.868795
2014,4.422307,4.830362
2015,4.730370,4.767311
2016,4.792526,4.713752
2017,5.048915,4.735624
2018,5.050574,4.780249
2019,5.031393,4.778430
2020,4.831247,4.479880
2021,4.977551,4.676995
2022,4.498961,4.676281
2023,3.957189,4.697341
