"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,"NaN","NaN",0.130000,"NaN","NaN","NaN","NaN"
2016,"NaN","NaN",0.860000,"NaN","NaN","NaN","NaN"
2017,"NaN","NaN",-0.130000,"NaN","NaN","NaN","NaN"
2018,"NaN","NaN",0.750000,"NaN",0,"NaN","NaN"
2019,"NaN","NaN",-1.010000,"NaN",0,"NaN","NaN"
2020,"NaN","NaN",-0.690000,"NaN",0,"NaN","NaN"
2021,"NaN","NaN",1.940000,"NaN",0,"NaN","NaN"
2022,"NaN","NaN",0.590000,"NaN",0,"NaN","NaN"
2023,"NaN","NaN",0.080000,"NaN",0,"NaN","NaN"
2024,"NaN","NaN",0.480000,"NaN",0,"NaN","NaN"
