"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.185943,,
1991,3.151840,,
1992,2.590117,,
1993,2.171714,,
1994,1.435488,,
1995,0.834180,,
1996,2.633938,,
1997,2.171625,,
1998,1.366938,,
1999,1.221951,,
2000,1.012564,,
2001,1.154394,,
2002,1.213751,,
2003,1.240680,,
2004,1.203408,,
2005,1.509180,,
2006,1.565571,,
2007,1.965522,,
2008,1.674282,,
2009,2.068994,,
2010,2.170294,,
2011,2.268048,,
2012,2.384537,,
2013,2.884641,,
2014,3.234802,,
2015,3.592502,,
2016,4.065383,,
2017,3.631707,,
2018,3.457708,,
2019,3.551493,,
2020,3.401646,,
2021,3.631055,,
2022,3.735341,,
