"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,37.766753,31.902731,12.783161,1.260436,0,-8.179575
1991,29.942836,24.152691,12.259663,1.110928,0,-7.580447
1992,23.678472,19.718725,10.751795,0.880054,0,-7.672101
1993,18.559462,15.690134,9.519786,0.808035,0,-7.458492
1994,9.382881,10.343864,5.517058,0.674376,0,-7.152417
1995,6.319097,7.598812,5.242993,0.710375,0,-7.233083
1996,6.932348,7.239266,5.911709,0.878921,0,-7.097548
1997,5.427886,6.124737,5.678826,0.901999,0,-7.277676
1998,5.076416,5.402443,5.683205,0.800375,0,-6.809607
1999,3.795324,4.848927,4.871966,0.939436,0,-6.865004
2000,4.593542,5.127145,5.307209,0.897238,0,-6.738050
2001,2.577806,3.708455,4.940837,0.861117,0.000240,-6.932842
2002,4.384191,3.376834,6.752421,0.962885,0.000941,-6.708890
2003,5.570847,3.623458,7.527100,1.004806,0.002853,-6.587370
2004,6.041761,4.088874,7.505008,0.920409,0.005176,-6.477707
2005,5.468040,4.986949,5.549758,0.932498,0.009440,-6.010605
2006,6.785303,5.543581,7.139343,0.881968,0.009214,-6.788803
2007,7.561330,6.203154,6.730283,0.806739,0.009663,-6.188510
2008,6.123048,6.131912,5.531841,0.804859,0.014900,-6.360464
2009,6.037643,6.207692,5.046635,0.801265,0.022286,-6.040236
2010,7.834615,6.917495,5.863781,0.814299,0.059908,-5.820868
2011,10.961122,8.502636,6.562575,0.840085,0.070681,-5.014854
2012,10.482368,8.895410,6.895826,0.888031,0.099469,-6.296368
2013,10.551214,9.056066,6.086306,1.008109,0.109810,-5.709076
2014,11.255286,9.819544,6.026496,1.010818,0.126088,-5.727660
2015,12.801635,10.493974,6.795681,1.048056,0.145601,-5.681677
2016,12.827286,10.718568,6.813522,0.975122,0.154992,-5.834918
2017,12.168186,10.726322,5.948264,0.921110,0.193080,-5.620590
2018,11.824598,10.455560,6.049856,0.904763,0.245854,-5.831435
2019,12.255774,11.169352,5.639829,0.892812,0.300466,-5.746686
2020,12.651082,11.048327,5.859251,0.942963,0.444672,-5.644131
2021,12.734899,11.542471,5.873456,0.929163,0.384662,-5.994853
2022,14.302212,12.827004,5.906925,0.882805,0.480735,-5.795256
