"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-6.899275,,,,
1991,-6.937747,,,,
1992,-7.068557,,,,
1993,-6.958637,,,,
1994,-6.937752,,,,
1995,-7.015099,,,,
1996,-6.950649,,,,
1997,-7.144805,,,,
1998,-6.732202,,,,
1999,-6.786466,,,,
2000,-6.730003,,,,
2001,-6.848717,,,,
2002,-6.661193,,,,
2003,-6.521558,,,,
2004,-6.383462,,,,
2005,-5.981851,,,,
2006,-6.510163,,,,
2007,-5.922494,,,,
2008,-6.043003,,,,
2009,-6.261451,,,,
2010,-6.061690,,,,
2011,-6.503275,,,,
2012,-6.791265,,,,
2013,-6.301718,,,,
2014,-6.285633,,,,
2015,-6.247161,,,,
2016,-6.399547,,,,
2017,-6.380458,,,,
2018,-6.488582,,,,
2019,-6.447509,,,,
2020,-6.680923,,,,
2021,-6.847634,,,,
2022,-6.688755,,,,
