"Year","Coal","Oil","Gas","Cement","Flaring"
2000,2.512881,2.805150,1.291221,0.196897,0.094770
2001,2.527104,2.826482,1.298106,0.205771,0.091661
2002,2.643030,2.821155,1.338592,0.213397,0.088627
2003,2.871949,2.897770,1.387213,0.234719,0.094052
2004,2.968497,3.005059,1.435665,0.245244,0.093518
2005,3.153313,3.031988,1.466966,0.263084,0.094974
2006,3.329482,3.059801,1.512990,0.286935,0.094855
2007,3.490333,3.070090,1.563934,0.308177,0.093697
2008,3.603660,3.058307,1.608725,0.312055,0.091364
2009,3.557073,2.991733,1.568931,0.320802,0.090182
2010,3.804795,3.092242,1.690258,0.342487,0.093188
2011,4.020544,3.097291,1.739345,0.368225,0.098119
2012,4.065650,3.138160,1.774701,0.377774,0.102979
2013,4.090907,3.161589,1.783938,0.393805,0.105220
2014,4.095547,3.171819,1.814039,0.409254,0.105632
2015,4.001667,3.243827,1.851352,0.394227,0.104879
2016,3.909794,3.277009,1.902281,0.404715,0.102141
2017,3.954607,3.335049,1.943594,0.410625,0.105754
2018,4.018899,3.348100,2.046403,0.427348,0.111161
2019,4.007727,3.378261,2.080084,0.440987,0.118839
2020,3.882619,2.974877,2.062025,0.445701,0.108766
2021,4.089115,3.142669,2.162148,0.461901,0.110106
2022,4.153740,3.241781,2.114757,0.438175,0.108475
2023,4.238854,3.287790,2.136997,0.444002,0.109672
