"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,0.772905,0.662038,0.052571,0.104497,0.196548,0.027688,0.231877,0.310308,0.058234
1960,0.790752,0.714972,0.063455,0.110267,0.218013,0.030383,0.241418,0.327552,0.064984
1961,0.787902,0.741860,0.077180,0.112257,0.155740,0.032861,0.248969,0.340820,0.071839
1962,0.817113,0.782783,0.079930,0.119090,0.125442,0.036185,0.261307,0.363753,0.074482
1963,0.853299,0.827367,0.088656,0.124093,0.124667,0.038877,0.280241,0.386698,0.077972
1964,0.890915,0.860881,0.097951,0.137433,0.125720,0.038070,0.298044,0.419612,0.085419
1965,0.927824,0.871261,0.105478,0.146666,0.136541,0.041949,0.316170,0.452582,0.088235
1966,0.974733,0.891165,0.114423,0.153793,0.149962,0.043497,0.333891,0.480427,0.095475
1967,1.011316,0.896822,0.133545,0.166187,0.125608,0.043547,0.349134,0.511304,0.102148
1968,1.048286,0.945707,0.153360,0.176815,0.135237,0.047508,0.358945,0.548025,0.108043
1969,1.101295,1.001312,0.178279,0.185185,0.165852,0.048421,0.373818,0.588422,0.113102
1970,1.184412,1.046186,0.209597,0.205966,0.220511,0.049597,0.393158,0.637434,0.119230
1971,1.191448,1.071088,0.217397,0.216726,0.248147,0.052392,0.417221,0.690786,0.125904
1972,1.248094,1.101497,0.232579,0.229762,0.264368,0.055414,0.438970,0.722852,0.134258
1973,1.305978,1.148068,0.249527,0.243671,0.275189,0.057067,0.457509,0.781864,0.143655
1974,1.261217,1.126745,0.249538,0.248639,0.280595,0.058912,0.474930,0.808289,0.133434
1975,1.222237,1.099065,0.237039,0.257061,0.322930,0.063922,0.499221,0.829780,0.122125
1976,1.295802,1.170152,0.247583,0.267943,0.334722,0.066798,0.518447,0.887447,0.119742
1977,1.334516,1.159436,0.254705,0.281598,0.365947,0.070677,0.536082,0.922186,0.122521
1978,1.348642,1.188708,0.246067,0.294876,0.407418,0.071820,0.554492,0.966665,0.124356
1979,1.366987,1.228907,0.260118,0.312297,0.416392,0.075405,0.559091,1.006162,0.124804
1980,1.312379,1.200613,0.257879,0.324307,0.407886,0.079615,0.581089,1.031695,0.121796
1981,1.279045,1.135219,0.252957,0.329653,0.402972,0.085962,0.570025,1.021950,0.112433
1982,1.213782,1.104050,0.244926,0.334594,0.438478,0.088805,0.580771,1.041661,0.101779
1983,1.208904,1.090985,0.240423,0.326113,0.462395,0.096124,0.589009,1.070068,0.097721
1984,1.272428,1.099846,0.255751,0.338385,0.503501,0.098679,0.594239,1.099830,0.098075
1985,1.269823,1.120615,0.249018,0.348206,0.545328,0.108513,0.640868,1.159251,0.100170
1986,1.272770,1.118289,0.248979,0.350817,0.574294,0.116351,0.641028,1.194461,0.107332
