"Year","GDP-PPP","Emissions/GDP-PPP"
1,25.981442,0.438651
2,21.708446,0.232965
3,10.129642,0.279343
4,5.232795,0.201383
5,4.518074,0.147320
6,3.732981,0.442589
7,3.421801,0.213012
8,3.209517,0.099284
9,3.154768,0.094312
10,3.057748,0.158116
