"Year","Historical","1.5C / 275 GtCO2","1.7C / 625 GtCO2","2.0C / 1150 GtCO2"
1870,3.386678,,,
1871,3.521333,,,
1872,3.631244,,,
1873,3.737768,,,
1874,3.753606,,,
1875,3.829448,,,
1876,3.869379,,,
1877,3.941469,,,
1878,4.005967,,,
1879,4.086603,,,
1880,4.227557,,,
1881,4.223011,,,
1882,4.338779,,,
1883,4.468314,,,
1884,4.487731,,,
1885,4.489396,,,
1886,4.553248,,,
1887,4.662310,,,
1888,4.787320,,,
1889,4.779677,,,
1890,5.149284,,,
1891,5.317637,,,
1892,5.370761,,,
1893,5.431018,,,
1894,5.514442,,,
1895,5.638879,,,
1896,5.730021,,,
1897,5.816969,,,
1898,5.936182,,,
1899,6.152229,,,
1900,6.329529,,,
1901,6.434710,,,
1902,6.553995,,,
1903,6.750158,,,
1904,6.863033,,,
1905,7.025284,,,
1906,7.158701,,,
1907,7.554788,,,
1908,7.481689,,,
1909,7.636352,,,
1910,7.676793,,,
1911,7.687947,,,
1912,7.785760,,,
1913,8.044909,,,
1914,7.716730,,,
1915,7.625049,,,
1916,7.828739,,,
1917,7.968798,,,
1918,7.948688,,,
1919,7.442319,,,
1920,8.129836,,,
1921,7.821921,,,
1922,8.034377,,,
1923,8.464214,,,
1924,8.494181,,,
1925,8.601766,,,
1926,8.519336,,,
1927,8.862959,,,
1928,8.853837,,,
1929,9.159991,,,
1930,8.902549,,,
1931,8.547293,,,
1932,8.258426,,,
1933,8.447082,,,
1934,8.787628,,,
1935,8.970080,,,
1936,9.366124,,,
1937,9.639053,,,
1938,9.398090,,,
1939,9.644284,,,
1940,10.190990,,,
1941,10.472381,,,
1942,10.497423,,,
1943,10.569029,,,
1944,10.647710,,,
1945,9.753480,,,
1946,10.124630,,,
1947,10.576354,,,
1948,10.778362,,,
1949,10.480394,,,
1950,11.976562,,,
1951,12.521910,,,
1952,12.747876,,,
1953,13.040969,,,
1954,13.331921,,,
1955,14.204257,,,
1956,14.882528,,,
1957,15.319953,,,
1958,15.757714,,,
1959,16.581982,,,
1960,16.167464,,,
1961,15.910419,,,
1962,15.763125,,,
1963,16.082294,,,
1964,16.491948,,,
1965,16.444776,,,
1966,16.820617,,,
1967,17.327628,,,
1968,18.051646,,,
1969,18.582119,,,
1970,19.916605,,,
1971,20.220980,,,
1972,20.935490,,,
1973,21.660925,,,
1974,21.452901,,,
1975,21.539694,,,
1976,22.445915,,,
1977,22.947058,,,
1978,23.371979,,,
1979,23.678882,,,
1980,23.730705,,,
1981,23.510490,,,
1982,23.377734,,,
1983,23.975926,,,
1984,25.433866,,,
1985,25.629744,,,
1986,26.112123,,,
1987,26.563441,,,
1988,27.167583,,,
1989,27.411870,,,
1990,27.713954,,,
1991,27.957901,,,
1992,27.569382,,,
1993,27.691442,,,
1994,28.562511,,,
1995,28.901966,,,
1996,29.975553,,,
1997,31.594883,,,
1998,30.211212,,,
1999,30.542498,,,
2000,30.570870,,,
2001,30.395593,,,
2002,31.301790,,,
2003,33.125774,,,
2004,33.632710,,,
2005,34.076713,,,
2006,35.397063,,,
2007,35.578103,,,
2008,36.289294,,,
2009,36.210914,,,
2010,37.933218,,,
2011,39.058268,,,
2012,39.660549,,,
2013,39.441881,,,
2014,40.002891,,,
2015,40.412196,,,
2016,39.370171,,,
2017,39.886687,,,
2018,40.325902,,,
2019,40.899016,,,
2020,38.544997,,,
2021,40.345002,,,
2022,40.662945,,,
2023,40.851060,40.851060,40.851060,40.851060
2024,,37.816861,39.516012,40.125490
2025,,34.782663,38.180965,39.399921
2026,,31.748465,36.845918,38.674352
2027,,28.714266,35.510871,37.948783
2028,,25.680068,34.175823,37.223214
2029,,22.645870,32.840776,36.497645
2030,,19.611671,31.505729,35.772075
2031,,16.577473,30.170682,35.046506
2032,,13.543275,28.835634,34.320937
2033,,10.509077,27.500587,33.595368
2034,,7.474878,26.165540,32.869799
2035,,4.440680,24.830493,32.144230
2036,,1.406482,23.495445,31.418660
2037,,0,22.160398,30.693091
2038,,0,20.825351,29.967522
2039,,0,19.490304,29.241953
2040,,0,18.155256,28.516384
2041,,0,16.820209,27.790815
2042,,0,15.485162,27.065246
2043,,0,14.150114,26.339676
2044,,0,12.815067,25.614107
2045,,0,11.480020,24.888538
2046,,0,10.144973,24.162969
2047,,0,8.809925,23.437400
2048,,0,7.474878,22.711831
2049,,0,6.139831,21.986261
2050,,0,4.804784,21.260692
2051,,0,3.469736,20.535123
2052,,0,2.134689,19.809554
2053,,0,0.799642,19.083985
2054,,0,0,18.358416
2055,,0,0,17.632846
2056,,0,0,16.907277
2057,,0,0,16.181708
2058,,0,0,15.456139
2059,,0,0,14.730570
2060,,0,0,14.005001
2061,,0,0,13.279431
2062,,0,0,12.553862
2063,,0,0,11.828293
2064,,0,0,11.102724
2065,,0,0,10.377155
2066,,0,0,9.651586
2067,,0,0,8.926017
2068,,0,0,8.200447
2069,,0,0,7.474878
2070,,0,0,6.749309
2071,,0,0,6.023740
2072,,0,0,5.298171
2073,,0,0,4.572602
2074,,0,0,3.847032
2075,,0,0,3.121463
2076,,0,0,2.395894
2077,,0,0,1.670325
2078,,0,0,0.944756
2079,,0,0,0.219187
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
