"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,9.247571,10.517521,0.664018,0.661075,20.642052,20.348090,2.153806,2.011214
1991,9.062927,10.210327,0.692244,0.671344,20.126224,19.722004,2.226241,2.050081
1992,8.737345,10.930464,0.722197,0.712406,20.277146,20.175248,2.306772,2.176013
1993,8.551547,10.176715,0.731147,0.703769,20.375824,20.123223,2.443147,2.305556
1994,8.487350,9.888622,0.755414,0.722970,20.452991,20.255777,2.570838,2.277909
1995,8.581719,10.010346,0.788632,0.745831,20.421773,20.222987,2.759638,2.457799
1996,8.769709,9.892236,0.837625,0.781390,20.867321,20.597453,2.856649,2.544424
1997,8.602043,9.677116,0.856012,0.802196,20.881930,20.727243,2.840192,2.470961
1998,8.569124,9.789301,0.857394,0.802499,20.785180,21.069237,2.698500,2.373829
1999,8.429491,9.778696,0.913464,0.871331,20.789043,21.456095,2.833504,2.526943
2000,8.441662,9.877320,0.922514,0.857062,21.282460,22.145793,2.886800,2.580911
2001,8.558854,9.867018,0.918440,0.847400,20.694748,21.637576,2.929518,2.638524
2002,8.541293,9.796795,0.930212,0.845703,20.621824,21.825800,3.203184,2.849593
2003,8.710940,10.141306,0.947866,0.878684,20.645629,22.289571,3.756086,3.163815
2004,8.706525,10.252231,0.990171,0.911805,20.795028,22.512945,4.023198,3.327836
2005,8.632976,10.425752,1.026879,0.949549,20.658025,22.651945,4.507778,3.615471
2006,8.627044,10.609269,1.102451,1.005553,20.192239,22.377482,4.945857,3.910978
2007,8.509973,10.580048,1.170476,1.089658,20.248576,21.930180,5.284530,4.196267
2008,8.284188,10.459953,1.234271,1.144382,19.349745,20.658997,5.639515,4.487449
2009,7.589258,9.426885,1.317558,1.246480,17.765031,18.733302,5.892718,5.019240
2010,7.800657,9.774653,1.352022,1.271682,18.252019,19.171409,6.394216,5.441958
2011,7.556642,9.441814,1.403215,1.296973,17.669734,18.538838,7.024126,5.996563
2012,7.380665,8.811086,1.510960,1.404388,16.876879,17.849964,7.156179,6.218714
2013,7.192885,8.528224,1.545232,1.379711,17.158994,17.968249,7.235211,6.340340
2014,6.877080,8.249426,1.643411,1.499196,17.168006,18.124862,7.218271,6.364150
2015,6.986075,8.129598,1.688923,1.583834,16.562983,17.837777,7.079603,6.362925
2016,6.990383,8.157745,1.758998,1.627941,16.053693,17.299970,6.965619,6.323627
2017,7.030545,8.238227,1.791917,1.678849,15.804430,17.074879,7.098718,6.482765
2018,6.855601,8.293571,1.894121,1.771548,16.191355,17.456950,7.306582,6.785425
2019,6.525811,7.924736,1.889137,1.769569,15.739861,17.006728,7.540132,6.985732
2020,5.906191,7.205587,1.734155,1.609677,14.034053,15.438848,7.659333,7.006753
2021,6.304357,7.860043,1.899894,1.738979,14.932488,16.534755,7.950267,7.237630
