"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,11.309689,6.527570,19885259.575000,3337111983
1966,11.861708,6.876572,20955519.116000,3406417036
1967,12.236328,7.135500,21759565.614000,3475448166
1968,12.904336,7.566896,23086045.867000,3546810808
1969,13.760839,8.074376,24450569.379000,3620655275
1970,14.898156,8.589034,25781836.428000,3695390336
1971,15.502786,8.941178,26986038.560000,3770163092
1972,16.223440,9.420108,28482742.036000,3844800885
1973,17.083501,9.970799,30462410.246000,3920251504
1974,17.009382,10.034134,31406054.746000,3995517077
1975,17.049979,10.081503,31854883.572000,4069437231
1976,17.985245,10.619214,33676402.514000,4142505882
1977,18.494652,11.009850,35134576.079000,4215772490
1978,19.063955,11.456518,36530230.368000,4289657708.000000
1979,19.603002,11.851168,37986722.226000,4365582871
1980,19.482441,11.748527,38752427.402000,4444007706
1981,19.016949,11.699945,39496836.179000,4524627658
1982,18.865373,11.636811,39776181.130000,4607984871
1983,18.985901,11.824917,40780767.056000,4691884238
1984,19.641729,12.386360,42423394.518000,4775836074
1985,20.305131,12.707063,43784636.315000,4861730613
1986,20.607513,12.992084,45311633.254000,4950063339
1987,21.245783,13.444880,46894892.422000,5040984495
1988,22.077385,13.951106,48884363.725000,5132293974
1989,22.378970,14.226465,50605875.007000,5223704308
1990,22.752700,14.409965,51798921.597000,5316175862
1991,23.229475,14.510970,52382575.284000,5406245867
1992,22.567199,14.593459,53225757.737000,5492686093
1993,22.798350,14.709308,54089903.421000,5577433523
1994,23.034775,14.895499,55605115.435000,5660727993
1995,23.524492,15.234943,57329440.685000,5743219454
1996,24.250163,15.671172,59460667.205000,5825145298
1997,24.395951,15.833285,61780309.955000,5906481261
1998,24.330946,15.933292,63313033.380000,5987312480
1999,24.833495,16.208744,65484845.480000,6067758458
2000,25.501288,16.633467,68562480.758000,6148898975
2001,25.674930,16.799383,70151849.306000,6230746982
2002,26.248289,17.158864,71988652.462000,6312407360
2003,27.648649,17.768798,74594395.763000,6393898365
2004,28.620193,18.650932,78408445.037000,6475751478
2005,29.592103,19.262809,81973354.376000,6558176119
2006,30.605767,19.807590,86185014.930000,6641416218
2007,31.499734,20.415111,90598493.468000,6725948544
2008,32.041903,20.654741,93061615.979000,6811597272
2009,31.493267,20.322078,92416823.676000,6898305908
2010,33.306328,21.301266,97058860.621000,6985603105
2011,34.436471,21.791628,100787138.910000,7073125425
2012,34.935453,22.104654,103881281.930000,7161697921
2013,35.232467,22.491202,107259832.140000,7250593370
2014,35.466195,22.729060,110826998.810000,7339013419
2015,35.463215,22.918321,114476948.940000,7426597537
2016,35.460026,23.194222,118166170.320000,7513474238
2017,36.025451,23.680398,122581865.980000,7599822404
2018,36.766945,24.327397,126834978.180000,7683789828
2019,37.040103,24.592762,130413790.840000,7764951032
2020,35.007739,23.717724,126207941.350000,7840952880
2021,36.816542,25.012203,133699892.270000,7909295151
2022,37.149785,25.289765,138316579.490000,7975105156
