"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,3.399547,2.176421,4541643.262700,189703283
1966,3.571421,2.298156,4836850.074800,191830975
1967,3.705461,2.378217,4957771.326700,193782438
1968,3.840920,2.520026,5195744.350400,195743427
1969,4.035145,2.650258,5356812.425200,197859329
1970,4.339686,2.744072,5338243.102800,200328340
1971,4.365465,2.801825,5514050.219400,202907917
1972,4.573015,2.941256,5804029.012300,205238390
1973,4.785103,3.065712,6131708.386500,207314764
1974,4.621100,2.990773,6098563.336100,209277968
1975,4.478275,2.911925,6086033.467500,211274535
1976,4.747817,3.071245,6413957.427900,213270022
1977,4.889665,3.149492,6710548.637200,215437405
1978,4.941423,3.219375,7081997.968800,217881437
1979,5.008642,3.253304,7306224.315400,220463115
1980,4.808556,3.127835,7287465.607900,223140018
1981,4.686420,3.035310,7472401.029300,225654008
1982,4.447298,2.911723,7337682.052400,228001418
1983,4.429423,2.901533,7674035.039900,230389964
1984,4.662174,3.050020,8229376.804400,232766280
1985,4.652633,3.042266,8572513.526400,235146182
1986,4.663430,3.070561,8869349.319900,237512783
1987,4.825712,3.173669,9176162.462700,239853168
1988,5.050543,3.318190,9559456.392400,242287814
1989,5.132206,3.398563,9910541.591600,244954094
1990,5.120957,3.407377,10097450.932000,248083732
1991,5.062957,3.402810,10086518.949000,251560189
1992,5.174228,3.453006,10441810.580000,255175339
1993,5.272851,3.525457,10729146.345000,258779753
1994,5.364279,3.590323,11161401.469000,262273589.000000
1995,5.425260,3.668780,11460997.735000,265660556.000000
1996,5.612983,3.792447,11893371.381000,268984347
1997,5.688143,3.820912,12422290.414000,272395438
1998,5.733281,3.845366,12978982.246000,275835018
1999,5.803918,3.913585,13601259.515000,279181581
2000,6.010136,4.001054,14155803.954000,282398554
2001,5.907740,3.905699,14290898.967000,285470493
2002,5.946308,3.963738,14533264.476000,288350252
2003,6.010145,3.976137,14939644.222000,291109820
2004,6.112655,4.054128,15515202.507000,293947885
2005,6.132183,4.056025,16055631.045000,296842670
2006,6.052686,4.024069,16502428.748000,299753098
2007,6.130123,4.079184,16834211.119000,302743399
2008,5.915118,3.979966,16854781.048000,305694910
2009,5.480726,3.784026,16416575.071000,308512035
2010,5.679715,3.911590,16861277.099000,311182845
2011,5.546116,3.877556,17122609.266000,313876608
2012,5.344086,3.775334,17513122.228000,316651321
2013,5.480157,3.877810,17835692.253000,319375166
2014,5.528681,3.918275,18243732.376000,322033964
2015,5.376473,3.880716,18737475.331000,324607776
2016,5.252932,3.877117,19049918.241000,327210198
2017,5.212162,3.891568,19479623,329791231
2018,5.377797,4.034143,20048205.761000,332140037
2019,5.262145,4.005473,20507082.950000,334319671
2020,4.714628,3.708297,19808900.259000,335942003
2021,5.032213,3.910559,20932281.741000,336997624
2022,5.057304,4.015576,21708446.282000,338289857
