"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,3.870427,4.401945,0.577996,0.575434,5.120957,5.048030,2.484855,2.320346
1991,3.804558,4.286229,0.615365,0.596786,5.062957,4.961271,2.606096,2.399879
1992,3.678623,4.601977,0.655447,0.646561,5.174228,5.148226,2.730788,2.575993
1993,3.609838,4.295865,0.677299,0.651937,5.272851,5.207483,2.921651,2.757112
1994,3.590762,4.183601,0.714064,0.683396,5.364279,5.312555,3.103739,2.750089
1995,3.637058,4.242531,0.760462,0.719189,5.425260,5.372450,3.361637,2.993954
1996,3.721912,4.198319,0.823621,0.768326,5.612983,5.540393,3.508818,3.125313
1997,3.655535,4.112399,0.858011,0.804069,5.688143,5.646006,3.515594,3.058559
1998,3.645832,4.164971,0.875772,0.819701,5.733281,5.811633,3.364588,2.959776
1999,3.590361,4.165026,0.950460,0.906620,5.803918,5.990147,3.557275,3.172408
2000,3.601509,4.214011,0.977526,0.908172,6.010136,6.253940,3.649201,3.262527
2001,3.658265,4.217407,0.990970,0.914320,5.907740,6.176890,3.728513,3.358154
2002,3.658905,4.196735,1.021664,0.928847,5.946308,6.293475,4.103043,3.650118
2003,3.743083,4.357710,1.059160,0.981855,6.010145,6.488713,4.841119,4.077756
2004,3.753995,4.420458,1.125096,1.036052,6.112655,6.617633,5.217351,4.315593
2005,3.734855,4.510458,1.185674,1.096386,6.132183,6.724064,5.882143,4.717784
2006,3.744527,4.604903,1.292485,1.178884,6.052686,6.707720,6.494338,5.135453
2007,3.708245,4.610286,1.392506,1.296357,6.130123,6.639217,6.983577,5.545422
2008,3.624359,4.576263,1.489438,1.380966,5.915118,6.315350,7.501498,5.969057
2009,3.330523,4.136961,1.612216,1.525243,5.480726,5.779449,7.891089,6.721393
2010,3.431445,4.299790,1.677337,1.577666,5.679715,5.965814,8.620627,7.336801
2011,3.330913,4.161883,1.764712,1.631101,5.546116,5.818908,9.532409,8.137908
2012,3.258429,3.889935,1.925700,1.789875,5.344086,5.652215,9.779354,8.498250
2013,3.178525,3.768609,1.995098,1.781389,5.480157,5.738613,9.956376,8.724944
2014,3.041581,3.648540,2.148344,1.959819,5.528681,5.836821,9.998674,8.815555
2015,3.092762,3.599004,2.234220,2.095201,5.376473,5.790281,9.866951,8.868106
2016,3.097996,3.615348,2.354658,2.179220,5.252932,5.660727,9.765030,8.865028
2017,3.119782,3.655687,2.426607,2.273490,5.212162,5.631145,10.011152,9.142488
2018,3.046239,3.685192,2.593058,2.425254,5.377797,5.798152,10.353934,9.615418
2019,2.904162,3.526721,2.612888,2.447512,5.262145,5.685684,10.721042,9.932761
2020,2.629971,3.208579,2.421552,2.247732,4.714628,5.186558,10.914012,9.984131
2021,2.805762,3.498121,2.674222,2.447724,5.032213,5.572173,11.336234,10.320089
