"Year","China","USA","India","EU27","Russia","Japan","World"
1950,0.144923,17.139592,0.171146,3.880829,4.045541,1.215617,2.372380
1951,0.184452,17.388702,0.175440,4.312813,4.318295,1.440857,2.509272
1952,0.226566,16.680990,0.180769,4.453392,4.552611,1.500268,2.496819
1953,0.231707,16.808948,0.180220,4.502795,4.740099,1.655400,2.519000
1954,0.272703,15.735586,0.185804,4.751007,5.095010,1.599834,2.522121
1955,0.315788,16.932928,0.197672,5.099827,5.686098,1.574809,2.710730
1956,0.350203,17.432252,0.200307,5.420040,6.134123,1.764810,2.829694
1957,0.406006,16.985847,0.219783,5.549517,6.606758,2.047817,2.864239
1958,0.814886,16.145486,0.224764,5.460037,6.943929,1.954876,2.886436
1959,1.104223,16.338840,0.232730,5.498437,7.195299,2.058434,2.981074
1960,1.221088,16.444399,0.249633,5.900341,7.387599,2.461229,3.108876
1961,0.870845,16.119921,0.263841,6.129692,7.513626,2.965608,3.068203
1962,0.691556,16.457443,0.283886,6.507279,7.789393,3.042182,3.117215
1963,0.667900,16.931977,0.298042,6.888535,8.265489,3.340323,3.212377
1964,0.653763,17.430369,0.285217,7.187425,8.708788,3.650259,3.312799
1965,0.691150,17.920337,0.307334,7.216935,9.164878,3.885353,3.389065
1966,0.739566,18.617542,0.311890,7.378901,9.610648,4.172967,3.482166
1967,0.604760,19.121758,0.305670,7.486796,9.985237,4.819440,3.520792
1968,0.634962,19.622215,0.326320,7.891318,10.209221,5.465051,3.638293
1969,0.758248,20.394011,0.325341,8.361631,10.577461,6.274759,3.800649
1970,0.982272,21.662866,0.325959,8.675637,11.073095,7.285014,4.031551
1971,1.078176,21.514514,0.336779,8.864746,11.694484,7.459023,4.111967
1972,1.122624,22.281481,0.348358,9.139895,12.235122,7.874395,4.219579
1973,1.143640,23.081342,0.350767,9.523367,12.680922,8.335792,4.357756
1974,1.143136,22.081157,0.354019,9.415288,13.086700,8.229577,4.257117
1975,1.292955,21.196473,0.375622,9.177318,13.666459,7.726164,4.189763
1976,1.319618,22.262001,0.383950,9.821318,14.095640,7.983680,4.341634
1977,1.422510,22.696455,0.397372,9.675566,14.473316,8.131974,4.387014
1978,1.562891,22.679411,0.394961,9.955823,14.866623,7.785112,4.444167
1979,1.575610,22.718729,0.405557,10.184484,14.897138,8.162268,4.490352
1980,1.521313,21.549502,0.418627,10.052329,15.399609,8.032944,4.383980
1981,1.480545,20.768167,0.441829,9.486505,15.025376,7.828947,4.202986
1982,1.585211,19.505571,0.446234,9.229447,15.216139,7.535028,4.094061
1983,1.646106,19.225764,0.472226,9.096895,15.321731,7.353550,4.046541
1984,1.766785,20.029424,0.473931,9.156056,15.344659,7.778403,4.112731
1985,1.884557,19.786130,0.509575,9.267899,16.432475,7.533092,4.176523
1986,1.952376,19.634436,0.534303,9.204237,16.305339,7.495338,4.163081
1987,2.058381,20.119441,0.558213,9.259291,16.228180,7.381521,4.214610
1988,2.173954,20.845222,0.589750,9.130395,16.632673,8.025064,4.301660
1989,2.171740,20.951706,0.634558,9.191118,16.322447,8.288119,4.284119
1990,2.153806,20.642052,0.664018,9.247571,17.136149,9.355890,4.279900
1991,2.226241,20.126224,0.692244,9.062927,16.211978,9.420969,4.296785
1992,2.306772,20.277146,0.722197,8.737345,13.222369,9.471475,4.108591
1993,2.443147,20.375824,0.731147,8.551547,12.537027,9.390052,4.087606
1994,2.570838,20.452991,0.755414,8.487350,11.070849,9.804263,4.069225
1995,2.759638,20.421773,0.788632,8.581719,10.903035,9.878090,4.096046
1996,2.856649,20.867321,0.837625,8.769709,10.704888,9.954532,4.163014
1997,2.840192,20.881930,0.856012,8.602043,10.019229,9.872815,4.130370
1998,2.698500,20.785180,0.857394,8.569124,9.922302,9.535412,4.063751
1999,2.833504,20.789043,0.913464,8.429491,10.141275,9.806297,4.092697
2000,2.886800,21.282460,0.922514,8.441662,10.072826,9.966217,4.147293
2001,2.929518,20.694748,0.918440,8.558854,10.364425,9.830834,4.120683
2002,3.203184,20.621824,0.930212,8.541293,10.349519,10.045323,4.158206
2003,3.756086,20.645629,0.947866,8.710940,10.604022,10.096226,4.324224
2004,4.023198,20.795028,0.990171,8.706525,10.695658,10.046784,4.419594
2005,4.507778,20.658025,1.026879,8.632976,10.866317,10.095157,4.512246
2006,4.945857,20.192239,1.102451,8.627044,11.322848,9.906934,4.608319
2007,5.284530,20.248576,1.170476,8.509973,11.345776,10.177901,4.683315
2008,5.639515,19.349745,1.234271,8.284188,11.545911,9.619277,4.704022
2009,5.892718,17.765031,1.317558,7.589258,10.792086,9.078083,4.565362
2010,6.394216,18.252019,1.352022,7.800657,11.398726,9.482092,4.767853
2011,7.024126,17.669734,1.403215,7.556642,11.759599,9.879371,4.868636
2012,7.156179,16.876879,1.510960,7.380665,11.844850,10.213891,4.878096
2013,7.235211,17.158994,1.545232,7.192885,11.395340,10.300776,4.859253
2014,7.218271,17.168006,1.643411,6.877080,11.366104,9.916099,4.832556
2015,7.079603,16.562983,1.688923,6.986075,11.327114,9.612257,4.775163
2016,6.965619,16.053693,1.758998,6.990383,11.266587,9.468604,4.719524
2017,7.098718,15.804430,1.791917,7.030545,11.454742,9.369802,4.740302
2018,7.306582,16.191355,1.894121,6.855601,11.757415,9.042502,4.785001
2019,7.540132,15.739861,1.889137,6.525811,11.698945,8.780707,4.770166
2020,7.659333,14.034053,1.734155,5.906191,11.213839,8.302111,4.464730
2021,7.950267,14.932488,1.899894,6.304357,11.798489,8.523455,4.654845
2022,7.992762,14.949617,1.996682,6.174400,11.416899,8.501682,4.658219
