Year,LUC,LUC uncertainty,Emissions,Plus1SD,Minus1SD,Total emissions,Plus1SD,Minus1SD
1959,7.773274,2.5648,8.854662,9.297395,8.411929,16.627936,19.230668,14.025204
1960,6.831174,2.5648,9.386421,9.855742,8.9171,16.217595,18.824981,13.610209
1961,6.549339,2.5648,9.414382,9.885102,8.943663,15.963721,18.571359,13.356083
1962,6.07402,2.5648,9.746556,10.233884,9.259228,15.820576,18.431264,13.209889
1963,5.877264,2.5648,10.266047,10.77935,9.752745,16.143311,18.758971,13.527651
1964,5.735088,2.5648,10.823618,11.364799,10.282437,16.558706,19.17998,13.937433
1965,5.205555,2.5648,11.309689,11.875174,10.744205,16.515244,19.141643,13.888845
1966,5.034544,2.5648,11.861708,12.454794,11.268623,16.896252,19.528732,14.263772
1967,5.170649,2.5648,12.236328,12.848145,11.624512,17.406977,20.04374,14.770215
1968,5.232351,2.5648,12.904336,13.549553,12.259119,18.136687,20.781399,15.491974
1969,4.911531,2.5648,13.760839,14.448881,13.072797,18.67237,21.327855,16.016885
1970,5.114187,2.5648,14.898156,15.643064,14.153249,20.012343,22.683127,17.341559
1971,4.81932,2.5648,15.502786,16.277925,14.727646,20.322106,23.001479,17.642733
1972,4.822227,2.5648,16.22344,17.034612,15.412268,21.045667,23.735685,18.355648
1973,4.695294,2.5648,17.083501,17.937676,16.229326,21.778794,24.482091,19.075498
1974,4.564159,2.5648,17.009382,17.859851,16.158913,21.573541,24.27567,18.871413
1975,4.612805,2.5648,17.049979,17.902478,16.19748,21.662784,24.365552,18.960017
1976,4.590821,2.5648,17.985245,18.884507,17.085983,22.576066,25.293946,19.858186
1977,4.591224,2.5648,18.494652,19.419384,17.569919,23.085876,25.812289,20.359462
1978,4.456438,2.5648,19.063955,20.017153,18.110757,23.520393,26.256592,20.784194
1979,4.229624,2.5648,19.603002,20.583152,18.622852,23.832626,26.578331,21.086922
1980,4.40651,2.5648,19.482441,20.456563,18.508319,23.88895,26.632509,21.145392
1981,4.654917,2.5648,19.016949,19.967796,18.066102,23.671866,26.407247,20.936484
1982,4.676656,2.5648,18.865373,19.808642,17.922105,23.54203,26.274785,20.809274
1983,5.159681,2.5648,18.985901,19.935196,18.036606,24.145583,26.880425,21.410741
1984,5.966946,2.5648,19.641729,20.623815,18.659642,25.608675,28.355071,22.862278
1985,5.504305,2.5648,20.305131,21.320387,19.289874,25.809436,28.567867,23.051004
1986,5.692818,2.5648,20.607513,21.637888,19.577137,26.300331,29.064363,23.536299
1987,5.514564,2.5648,21.245783,22.308072,20.183494,26.760347,29.536434,23.984261
1988,5.298694,2.5648,22.077385,23.181254,20.973516,27.376078,30.16834,24.583817
1989,5.240851,2.5648,22.37897,23.497918,21.260021,27.619821,30.418078,24.821563
1990,5.1669,2.5648,22.7527,23.890335,21.615065,27.9196,30.725382,25.113818
1991,4.946534,2.5648,23.229475,24.390949,22.068001,28.176009,30.991541,25.360477
1992,5.223105,2.5648,22.567199,23.695559,21.438839,27.790304,30.592338,24.98827
1993,5.129063,2.5648,22.79835,23.938268,21.658433,27.927413,30.734121,25.120705
1994,5.77643,2.5648,23.034775,24.186514,21.883036,28.811205,31.622735,25.999675
1995,5.639482,2.5648,23.524492,24.700717,22.348267,29.163974,31.985623,26.342325
1996,5.997308,2.5648,24.250163,25.462671,23.037655,30.247471,33.084437,27.410506
1997,7.480996,2.5648,24.395951,25.615748,23.176153,31.876947,34.717036,29.036858
1998,6.165132,2.5648,24.330946,25.547493,23.114398,30.496078,33.334772,27.657383
1999,6.004001,2.5648,24.833495,26.075169,23.59182,30.837496,33.68705,27.987943
2000,5.375662,2.5648,25.501288,26.776352,24.226223,30.87695,33.74121,28.012689
2001,5.036168,2.5648,25.67493,26.958677,24.391184,30.711098,33.579234,27.842962
2002,5.385176,2.5648,26.248289,27.560704,24.935875,31.633466,34.514547,28.752384
2003,5.83354,2.5648,27.648649,29.031082,26.266217,33.482189,36.395833,30.568546
2004,5.393811,2.5648,28.620193,30.051202,27.189183,34.014004,36.951007,31.077
2005,4.891904,2.5648,29.592103,31.071708,28.112498,34.484007,37.444992,31.523022
2006,5.234708,2.5648,30.605767,32.136056,29.075479,35.840475,38.827109,32.853841
2007,4.556037,2.5648,31.499734,33.074721,29.924747,36.055771,39.065553,33.04599
2008,4.740789,2.5648,32.041903,33.643998,30.439807,36.782691,39.806746,33.758636
2009,5.236149,2.5648,31.493267,33.06793,29.918603,36.729416,39.739028,33.719804
2010,5.177513,2.5648,33.306328,34.971644,31.641012,38.483841,41.541859,35.425822
2011,5.218,2.5648,34.436471,36.158294,32.714647,39.654471,42.743625,36.565316
2012,5.34519,2.5648,34.935453,36.682226,33.188681,40.280643,43.383773,37.177513
2013,4.858782,2.5648,35.232467,36.99409,33.470844,40.091249,43.202762,36.979735
2014,5.214287,2.5648,35.466195,37.239505,33.692885,40.680482,43.798627,37.562337
2015,5.630261,2.5648,35.463215,37.236375,33.690054,41.093476,44.211536,37.975416
2016,4.598992,2.5648,35.460026,37.233027,33.687024,40.059017,43.176987,36.941048
2017,4.56499,2.5648,36.025451,37.826724,34.224179,40.590441,43.724573,37.456309
2018,4.285146,2.5648,36.766945,38.605292,34.928598,41.052091,44.207676,37.896505
2019,4.597514,2.5648,37.040103,38.892109,35.188098,41.637617,44.801179,38.474056
2020,4.295185,2.5648,35.007739,36.758126,33.257352,39.302924,42.40809,36.197758
2021,4.321578,2.5648,36.816542,38.65737,34.975715,41.138121,44.295151,37.98109
2022,4.309951,2.5648,37.149785,39.007274,35.292295,41.459736,44.626511,38.29296
2023,NaN,NaN,37.547161,39.817687,35.278016,41.637272,45.06269,38.212769
