"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,3.713289,1.303081,0.147841,3.074959,0.237100,0.070768,0.094256
1960,3.964574,1.448403,0.156567,3.153344,0.235038,0.090276,0.100119
1961,4.109427,1.299079,0.161994,3.146454,0.239745,0.094484,0.099981
1962,4.336451,1.233358,0.166335,3.264933,0.260184,0.109295,0.103096
1963,4.609470,1.299642,0.176335,3.404057,0.257968,0.123593,0.109293
1964,4.839294,1.362749,0.193639,3.576454,0.275287,0.144769,0.118450
1965,4.981611,1.477277,0.213634,3.727016,0.284890,0.172795,0.129173
1966,5.153138,1.598353,0.221082,3.911773,0.296655,0.198951,0.131938
1967,5.267012,1.619899,0.237045,4.077573,0.316815,0.205539,0.138175
1968,5.512483,1.779765,0.257380,4.238651,0.338572,0.236683,0.144930
1969,5.812589,2.021452,0.277916,4.444880,0.367972,0.268463,0.153162
1970,6.094493,2.412937,0.302624,4.795232,0.405063,0.285360,0.165591
1971,6.323188,2.619624,0.331861,4.844456,0.418011,0.334432,0.169902
1972,6.552128,2.769380,0.351871,5.086701,0.437765,0.360838,0.172836
1973,6.844702,2.924120,0.378003,5.311032,0.478441,0.428508,0.192345
1974,6.862857,2.968703,0.388390,5.166045,0.501494,0.443725,0.189269
1975,6.902366,3.143298,0.387265,5.039739,0.499966,0.434455,0.195424
1976,7.277034,3.294704,0.420141,5.330787,0.523068,0.508019,0.192758
1977,7.333233,3.513107,0.433115,5.490608,0.535287,0.534301,0.206084
1978,7.565711,3.692338,0.462487,5.579493,0.559753,0.536268,0.212264
1979,7.745267,3.833001,0.499061,5.691186,0.595606,0.569337,0.212264
1980,7.749258,3.842749,0.535678,5.519748,0.608729,0.554360,0.225659
1981,7.467590,3.818677,0.548563,5.400325,0.583762,0.552114,0.233963
1982,7.407606,3.956348,0.571724,5.166215,0.587022,0.564116,0.239423
1983,7.414092,4.108107,0.594557,5.115723,0.572234,0.594463,0.228676
1984,7.465077,4.354410,0.649321,5.364661,0.586727,0.622450,0.239735
1985,7.789209,4.597335,0.665683,5.362264,0.603056,0.670804,0.249757
1986,7.802156,4.780446,0.689694,5.361924,0.616060,0.713667,0.250301
1987,7.825484,5.000450,0.689700,5.563002,0.648529,0.729572,0.262014
1988,7.862970,5.414077,0.724689,5.812490,0.671391,0.777182,0.269578
1989,7.828841,5.584616,0.697790,5.919147,0.676210,0.821787,0.285907
1990,8.038442,5.766321,0.658274,5.897219,0.691836,0.844408,0.307348
1991,7.738478,5.997791,0.687822,5.843962,0.698322,0.932026,0.309460
1992,7.097765,6.231175,0.666894,5.971712,0.708848,1.019780,0.316474
1993,6.807982,6.477620,0.706651,6.076091,0.744069,1.107107,0.320730
1994,6.447638,6.773689,0.790270,6.195721,0.750604,1.165713,0.325863
1995,6.424751,7.132888,0.844546,6.248832,0.790511,1.127157,0.337474
1996,6.473149,7.452907,0.872310,6.463611,0.826503,1.146179,0.345859
1997,6.267737,7.589188,0.893978,6.574065,0.880135,1.130706,0.355897
1998,6.240964,7.306496,0.912431,6.645517,0.939823,1.170273,0.368273
1999,6.157766,7.696359,0.899666,6.735320,0.931302,1.258927,0.380017
2000,6.155595,7.940077,0.930032,6.969680,0.942453,1.391716,0.387150
2001,6.282259,8.087269,0.919532,6.875291,0.927189,1.407256,0.397067
2002,6.250000,8.590895,0.899263,6.921827,0.959946,1.425617,0.402340
2003,6.396394,9.507141,0.988554,7.028464,0.967481,1.518184,0.411515
2004,6.429234,10.049575,1.044856,7.131842,1.000824,1.635841,0.424620
2005,6.421553,10.832524,1.063169,7.171297,1.034114,1.700283,0.429639
2006,6.522048,11.584675,1.092155,7.096744,1.072234,1.810277,0.435797
2007,6.479707,12.292028,1.122710,7.198346,1.112022,1.803490,0.442370
2008,6.404985,12.889318,1.175609,6.965778,1.155234,1.944256,0.447620
2009,5.892881,13.327961,1.173152,6.485941,1.127024,2.023191,0.448128
2010,6.123992,14.366533,1.215363,6.693120,1.245145,2.135013,0.447413
2011,6.049206,15.540582,1.255073,6.595567,1.261848,2.180343,0.445567
2012,5.999425,16.079692,1.255841,6.412082,1.315848,2.326370,0.449540
2013,5.844851,16.360907,1.265459,6.545810,1.380863,2.279893,0.442001
2014,5.614210,16.575173,1.344905,6.579736,1.404049,2.390575,0.437133
2015,5.614495,16.612158,1.319776,6.427265,1.376067,2.507637,0.445729
2016,5.606777,16.682630,1.355479,6.291004,1.327934,2.568983,0.453541
2017,5.638488,17.134459,1.369699,6.245045,1.306922,2.645986,0.458710
2018,5.612441,17.738509,1.357064,6.425753,1.240660,2.670250,0.460848
2019,5.436361,18.190260,1.457553,6.309676,1.246569,2.673193,0.462299
2020,5.029197,18.005276,1.356417,5.680362,1.116158,2.521984,0.439568
2021,5.310309,18.805865,1.435196,6.038805,1.248439,2.640764,0.429151
2022,5.105308,19.102591,1.416609,6.117872,1.247228,2.677581,0.433255
