"Year","LUC","LUC_upper","LUC_lower"
1959,7.773274,10.338074,5.208474
1960,6.831174,9.395974,4.266374
1961,6.549339,9.114139,3.984539
1962,6.074020,8.638820,3.509220
1963,5.877264,8.442064,3.312464
1964,5.735088,8.299888,3.170288
1965,5.205555,7.770355,2.640755
1966,5.034544,7.599344,2.469744
1967,5.170649,7.735449,2.605849
1968,5.232351,7.797151,2.667551
1969,4.911531,7.476331,2.346731
1970,5.114187,7.678987,2.549387
1971,4.819320,7.384120,2.254520
1972,4.822227,7.387027,2.257427
1973,4.695294,7.260094,2.130494
1974,4.564159,7.128959,1.999359
1975,4.612805,7.177605,2.048005
1976,4.590821,7.155621,2.026021
1977,4.591224,7.156024,2.026424
1978,4.456438,7.021238,1.891638
1979,4.229624,6.794424,1.664824
1980,4.406510,6.971310,1.841710
1981,4.654917,7.219717,2.090117
1982,4.676656,7.241456,2.111856
1983,5.159681,7.724481,2.594881
1984,5.966946,8.531746,3.402146
1985,5.504305,8.069105,2.939505
1986,5.692818,8.257618,3.128018
1987,5.514564,8.079364,2.949764
1988,5.298694,7.863494,2.733894
1989,5.240851,7.805651,2.676051
1990,5.166900,7.731700,2.602100
1991,4.946534,7.511334,2.381734
1992,5.223105,7.787905,2.658305
1993,5.129063,7.693863,2.564263
1994,5.776430,8.341230,3.211630
1995,5.639482,8.204282,3.074682
1996,5.997308,8.562108,3.432508
1997,7.480996,10.045796,4.916196
1998,6.165132,8.729932,3.600332
1999,6.004001,8.568801,3.439201
2000,5.375662,7.940462,2.810862
2001,5.036168,7.600968,2.471368
2002,5.385176,7.949976,2.820376
2003,5.833540,8.398340,3.268740
2004,5.393811,7.958611,2.829011
2005,4.891904,7.456704,2.327104
2006,5.234708,7.799508,2.669908
2007,4.556037,7.120837,1.991237
2008,4.740789,7.305589,2.175989
2009,5.236149,7.800949,2.671349
2010,5.177513,7.742313,2.612713
2011,5.218000,7.782800,2.653200
2012,5.345190,7.909990,2.780390
2013,4.858782,7.423582,2.293982
2014,5.214287,7.779087,2.649487
2015,5.630261,8.195061,3.065461
2016,4.598992,7.163792,2.034192
2017,4.564990,7.129790,2.000190
2018,4.285146,6.849946,1.720346
2019,4.597514,7.162314,2.032714
2020,4.295185,6.859985,1.730385
2021,4.321578,6.886378,1.756778
2022,4.309951,6.874751,1.745151
