"Year","population","Emissions/population"
1,1.425887,2.181431
2,1.417173,0.544946
3,0.447316,1.685153
4,0.338290,4.080136
5,0.275501,0.722069
6,0.235825,0.231696
7,0.218541,0.160802
8,0.215313,0.612843
9,0.171186,0.162785
10,0.144713,3.115966
