"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,2.831923,2.425706,0.192620,0.382879,0.720152,0.101447,0.849598,1.136968,0.213369
1960,2.897315,2.619658,0.232500,0.404020,0.798800,0.111325,0.884555,1.200149,0.238100
1961,2.886873,2.718173,0.282787,0.411310,0.570630,0.120404,0.912222,1.248764,0.263219
1962,2.993902,2.868119,0.292864,0.436347,0.459618,0.132582,0.957430,1.332791,0.272902
1963,3.126487,3.031472,0.324835,0.454675,0.456779,0.142444,1.026803,1.416861,0.285689
1964,3.264314,3.154266,0.358891,0.503555,0.460637,0.139488,1.092032,1.537459,0.312976
1965,3.399547,3.192301,0.386471,0.537382,0.500286,0.153702,1.158446,1.658262,0.323292
1966,3.571421,3.265230,0.419245,0.563497,0.549459,0.159373,1.223377,1.760285,0.349819
1967,3.705461,3.285955,0.489307,0.608909,0.460226,0.159556,1.279226,1.873418,0.374271
1968,3.840920,3.465069,0.561913,0.647849,0.495507,0.174069,1.315176,2.007962,0.395871
1969,4.035145,3.668808,0.653215,0.678519,0.607683,0.177413,1.369670,2.155980,0.414405
1970,4.339686,3.833225,0.767963,0.754660,0.807953,0.181723,1.440532,2.335558,0.436857
1971,4.365465,3.924466,0.796544,0.794086,0.909210,0.191964,1.528699,2.531040,0.461312
1972,4.573015,4.035887,0.852170,0.841850,0.968646,0.203036,1.608385,2.648530,0.491921
1973,4.785103,4.206522,0.914265,0.892810,1.008293,0.209095,1.676312,2.864750,0.526351
1974,4.621100,4.128394,0.914306,0.911013,1.028100,0.215853,1.740144,2.961571,0.488901
1975,4.478275,4.026975,0.868511,0.941870,1.183215,0.234209,1.829144,3.040313,0.447467
1976,4.747817,4.287438,0.907145,0.981743,1.226421,0.244749,1.899591,3.251606,0.438734
1977,4.889665,4.248172,0.933238,1.031776,1.340831,0.258962,1.964204,3.378888,0.448916
1978,4.941423,4.355426,0.901590,1.080427,1.492778,0.263150,2.031660,3.541861,0.455641
1979,5.008642,4.502717,0.953071,1.144258,1.525661,0.276285,2.048510,3.686577,0.457282
1980,4.808556,4.399046,0.944869,1.188261,1.494496,0.291711,2.129110,3.780131,0.446260
1981,4.686420,4.159442,0.926835,1.207848,1.476488,0.314966,2.088571,3.744424,0.411955
1982,4.447298,4.045239,0.897408,1.225953,1.606585,0.325380,2.127947,3.816644,0.372919
1983,4.429423,3.997370,0.880909,1.194877,1.694217,0.352199,2.158129,3.920728,0.358049
1984,4.662174,4.029834,0.937070,1.239844,1.844828,0.361559,2.177293,4.029778,0.359347
1985,4.652633,4.105934,0.912401,1.275828,1.998083,0.397592,2.348141,4.247496,0.367023
1986,4.663430,4.097410,0.912260,1.285392,2.104213,0.426309,2.348727,4.376506,0.393265
1987,4.825712,4.121099,0.902530,1.359049,2.257739,0.455343,2.358150,4.439130,0.527033
1988,5.050543,4.083064,0.985464,1.419505,2.425894,0.491692,2.436094,4.640121,0.545008
1989,5.132206,4.127461,1.021682,1.493148,2.463654,0.540651,2.404974,4.630521,0.564672
1990,5.120957,4.234830,1.157196,1.550067,2.484855,0.577996,2.536248,4.541701,0.548852
1991,5.062957,4.229794,1.168897,1.586864,2.606096,0.615365,2.406756,5.009057,0.543689
1992,5.174228,4.120477,1.178675,1.647542,2.730788,0.655447,1.966505,4.538988,0.554550
1993,5.272851,4.048576,1.171687,1.698901,2.921651,0.677299,1.866729,4.582557,0.558100
1994,5.364279,4.029910,1.226702,1.761187,3.103739,0.714064,1.647665,4.601954,0.585276
1995,5.425260,4.063744,1.239048,1.812476,3.361637,0.760462,1.619727,4.623806,0.618332
1996,5.612983,4.167383,1.251546,1.912011,3.508818,0.823621,1.586822,4.717335,0.669645
1997,5.688143,4.088983,1.244251,2.004752,3.515594,0.858011,1.482245,4.809728,0.704244
1998,5.733281,4.101345,1.204403,1.979019,3.364588,0.875772,1.465253,4.860117,0.747168
1999,5.803918,4.063648,1.241036,2.040787,3.557275,0.950460,1.494179,4.908054,0.774138
2000,6.010136,4.079377,1.263755,2.129014,3.649201,0.977526,1.479142,5.128551,0.784586
2001,5.907740,4.136679,1.249162,2.144193,3.728513,0.990970,1.515647,5.222958,0.779067
2002,5.946308,4.118317,1.278787,2.183385,4.103043,1.021664,1.506788,5.291595,0.798401
2003,6.010145,4.205549,1.287293,2.262783,4.841119,1.059160,1.537018,5.614668,0.830915
2004,6.112655,4.220423,1.282686,2.291264,5.217351,1.125096,1.543957,5.923360,0.903401
2005,6.132183,4.196962,1.290145,2.343247,5.882143,1.185674,1.562577,6.059648,0.939524
2006,6.052686,4.200011,1.267118,2.385142,6.494338,1.292485,1.623002,6.299146,0.991839
2007,6.130123,4.143984,1.302837,2.472268,6.983577,1.392506,1.623781,6.401597,1.049062
2008,5.915118,4.050648,1.232014,2.473486,7.501498,1.489438,1.652065,6.668532,1.059104
2009,5.480726,3.735099,1.163057,2.430707,7.891089,1.612216,1.545034,6.620350,1.014988
2010,5.679715,3.858213,1.214708,2.503149,8.620627,1.677337,1.632783,7.040047,1.079749
2011,5.546116,3.698948,1.264631,2.599347,9.532409,1.764712,1.685910,7.236113,1.108283
2012,5.344086,3.653350,1.305884,2.648330,9.779354,1.925700,1.701268,7.480824,1.096656
2013,5.480157,3.584824,1.315192,2.626298,9.956376,1.995098,1.640437,7.521401,1.112683
2014,5.528681,3.403881,1.264072,2.610221,9.998674,2.148344,1.639959,7.751949,1.120414
2015,5.376473,3.437316,1.223169,2.651219,9.866951,2.234220,1.638675,7.875104,1.160088
2016,5.252932,3.422766,1.202455,2.671162,9.765030,2.354658,1.634885,7.982460,1.173679
2017,5.212162,3.424954,1.186802,2.710034,10.011152,2.426607,1.666121,8.161476,1.226143
2018,5.377797,3.347124,1.141669,2.735059,10.353934,2.593058,1.712494,8.244388,1.261421
2019,5.262145,3.192350,1.104540,2.699031,10.721042,2.612888,1.705031,8.478886,1.264191
2020,4.714628,2.885562,1.039796,2.542494,10.914012,2.421552,1.632929,7.997989,0.858777
2021,5.032213,3.074203,1.062129,2.639554,11.336234,2.674222,1.711993,8.377981,0.908013
2022,5.057304,3.001746,1.053798,2.661587,11.396777,2.829644,1.652177,8.447410,1.049341
