"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,4.256651,3.878678,11485602.441391,1552247726
1966,4.473908,4.075202,12096888.270604,1586524458
1967,4.717480,4.270118,12662646.260419,1621696412
1968,5.005395,4.541298,13567982.323261,1657625397
1969,5.334974,4.847745,14361505.479073,1693973328
1970,5.801255,5.175340,15453322.604058,1730674644
1971,6.150284,5.382332,16309824.741282,1767208290
1972,6.432061,5.671174,17275371.580762,1804495581
1973,6.826736,6.051153,18657100.415596,1843257419
1974,6.946750,6.153119,19515434.160715,1882772688
1975,7.070825,6.205912,19978890.649699,1922845024
1976,7.415813,6.530913,21269495.194609,1963639165
1977,7.683107,6.763983,22235277.387837,2005261564
1978,7.907300,7.055428,23049204.718335,2047703728
1979,8.221997,7.361290,24099105.599178,2091165685
1980,8.363916,7.363372,24681469.793339,2135475644
1981,8.263739,7.387781,25239443.304420,2181012512
1982,8.341780,7.414022,25614949.197512,2228102274
1983,8.423527,7.543559,26098062.321207,2275958367
1984,8.650226,7.875373,26840359.805786,2324315755
1985,9.069219,8.028640,27490820.191900,2373209120
1986,9.215034,8.212872,28486355.724767,2422802920
1987,9.340321,8.457085,29372124.698247,2473193112
1988,9.766355,8.696248,30367629.607321,2523716183
1989,9.842749,8.805862,31341877.147908,2574340973
1990,10.149613,8.967502,31729615.942301,2624658208
1991,10.596810,9.011378,31692321.781882,2674568943
1992,9.773563,8.978662,31121166.234361,2724334069
1993,9.758612,8.919516,31033358.832055,2773543248
1994,9.676655,8.935889,30896039.191190,2822046615
1995,9.721744,9.110484,31408973.733906,2870519860
1996,9.913184,9.309707,32343101.268172,2919353033
1997,9.974423,9.389406,33483462.508556,2968140063
1998,9.964304,9.416393,33565145.284642,3016871828
1999,10.157344,9.550965,34335846.235666,3065815815
2000,10.478330,9.773386,36138729.598828,3115211733
2001,10.610375,9.915054,36972935.345922,3165204366
2002,10.719968,10.017849,38035829.145172,3215488123
2003,11.164228,10.238949,39616790.022547,3265835526
2004,11.507695,10.561394,41928360.597405,3316573028
2005,11.717723,10.734603,43953980.138165,3368188171
2006,12.029892,10.958228,46362672.242416,3421151410
2007,12.236222,11.138456,48930983.835659,3475227455
2008,12.452386,11.267570,50518077.320582,3530463869
2009,12.163723,10.903569,49368899.079181,3587133630
2010,12.817455,11.402492,51919949.931637,3644661079
2011,13.154036,11.537532,53904724.432882,3702660415
2012,13.531228,11.689588,55598465.442991,3761419865
2013,13.509628,11.739807,57328030.733881,3820972796
2014,13.628501,11.720028,58655263.424086,3881135029
2015,13.732721,11.820569,59618401.763451,3941559324
2016,13.815731,12.003705,60901503.392447,4001399286
2017,14.029606,12.184173,62691761.102134,4060640302
2018,14.134495,12.316969,64287808.887212,4120048340
2019,14.275676,12.296594,65557040.274767,4179430296
2020,13.468799,11.626091,63176247.232177,4237194397
2021,14.060099,12.194634,66238210.774205,4292570042
2022,14.054811,12.211162,67173299.855721,4345208505
