"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,0.500286,0.231543,260763.461440,723846349
1966,0.549459,0.251606,288534.770090,742948541
1967,0.460226,0.226248,271886.313840,761006260
1968,0.495507,0.228604,260738.975000,780371956
1969,0.607683,0.278115,304908.157350,801430976
1970,0.807953,0.355967,363755.431710,822534450
1971,0.909210,0.422048,389494.346430,843285424
1972,0.968646,0.455014,404397.551290,862840403
1973,1.008293,0.480344,435830.959930,881652080
1974,1.028100,0.495397,446009.806690,899367640
1975,1.183215,0.554734,484832.922180,915124661
1976,1.226421,0.584032,477268.894190,929375924
1977,1.340831,0.636835,513426.662500,942581333
1978,1.492778,0.698162,573309.807990,955138943
1979,1.525661,0.719232,616839.596010,968298969
1980,1.494496,0.727629,665154.377470,982372466
1981,1.476488,0.718030,699154.604770,997259502
1982,1.606585,0.750138,762210.902040,1013483166
1983,1.694217,0.798495,844290.955880,1029226907
1984,1.844828,0.856892,972561.091430,1044172197
1985,1.998083,0.927013,1103183.303000,1060239979
1986,2.104213,0.971287,1201907.246400,1077770523
1987,2.257739,1.047573,1342026.177500,1096851843
1988,2.425894,1.125479,1492627.121000,1115889802
1989,2.463654,1.181145,1555420.672400,1134414723
1990,2.484855,1.196491,1616390.167900,1153704252
1991,2.606096,1.256685,1766106.873600,1170626171
1992,2.730788,1.322415,2017331.610800,1183813389
1993,2.921651,1.425500,2297412.834100,1195855558
1994,3.103739,1.514605,2596916.984700,1207286675
1995,3.361637,1.560402,2881381.504100,1218144426
1996,3.508818,1.644023,3167293.646200,1228298836
1997,3.515594,1.655129,3459842.630300,1237801448
1998,3.364588,1.658058,3731306.320100,1246836105
1999,3.557275,1.716163,4017185.621000,1255433236
2000,3.649201,1.778595,4358243.918400,1264099069
2001,3.728513,1.879548,4721537.020400,1272739582
2002,4.103043,2.046917,5152785.099000,1280926120
2003,4.841119,2.384279,5670024.092400,1288873367
2004,5.217351,2.789786,6243470.325200,1296816711
2005,5.882143,3.169315,6954888.051900,1304887562
2006,6.494338,3.473961,7839619.015200,1313086567
2007,6.983577,3.775550,8955262.498700,1321513224
2008,7.501498,3.921709,9819504.397200,1330167148
2009,7.891089,4.093520,10742414.244000,1339125595
2010,8.620627,4.379401,11884961.309000,1348191368
2011,9.532409,4.723193,13020073.195000,1357095481
2012,9.779354,4.917280,14043935.267000,1366560818
2013,9.956376,5.102421,15134607.861000,1376100308
2014,9.998674,5.234598,16258469.707000,1385189668
2015,9.866951,5.295694,17403280.424000,1393715448
2016,9.765030,5.317312,18595190.725000,1401889681
2017,10.011152,5.524019,19887035.114000,1410275957
2018,10.353934,5.790234,21229364.459000,1417069468
2019,10.721042,6.060144,22526504.174000,1421864031
2020,10.914012,6.257161,23031901.022000,1424929781
2021,11.336234,6.612760,24892775.403000,1425893465
2022,11.396777,6.673479,25981441.672000,1425887337
