"Year","Emissions","Plus1SD","Minus1SD"
1959,8.854662,9.297395,8.411929
1960,9.386421,9.855742,8.917100
1961,9.414382,9.885102,8.943663
1962,9.746556,10.233884,9.259228
1963,10.266047,10.779350,9.752745
1964,10.823618,11.364799,10.282437
1965,11.309689,11.875174,10.744205
1966,11.861708,12.454794,11.268623
1967,12.236328,12.848145,11.624512
1968,12.904336,13.549553,12.259119
1969,13.760839,14.448881,13.072797
1970,14.898156,15.643064,14.153249
1971,15.502786,16.277925,14.727646
1972,16.223440,17.034612,15.412268
1973,17.083501,17.937676,16.229326
1974,17.009382,17.859851,16.158913
1975,17.049979,17.902478,16.197480
1976,17.985245,18.884507,17.085983
1977,18.494652,19.419384,17.569919
1978,19.063955,20.017153,18.110757
1979,19.603002,20.583152,18.622852
1980,19.482441,20.456563,18.508319
1981,19.016949,19.967796,18.066102
1982,18.865373,19.808642,17.922105
1983,18.985901,19.935196,18.036606
1984,19.641729,20.623815,18.659642
1985,20.305131,21.320387,19.289874
1986,20.607513,21.637888,19.577137
1987,21.245783,22.308072,20.183494
1988,22.077385,23.181254,20.973516
1989,22.378970,23.497918,21.260021
1990,22.752700,23.890335,21.615065
1991,23.229475,24.390949,22.068001
1992,22.567199,23.695559,21.438839
1993,22.798350,23.938268,21.658433
1994,23.034775,24.186514,21.883036
1995,23.524492,24.700717,22.348267
1996,24.250163,25.462671,23.037655
1997,24.395951,25.615748,23.176153
1998,24.330946,25.547493,23.114398
1999,24.833495,26.075169,23.591820
2000,25.501288,26.776352,24.226223
2001,25.674930,26.958677,24.391184
2002,26.248289,27.560704,24.935875
2003,27.648649,29.031082,26.266217
2004,28.620193,30.051202,27.189183
2005,29.592103,31.071708,28.112498
2006,30.605767,32.136056,29.075479
2007,31.499734,33.074721,29.924747
2008,32.041903,33.643998,30.439807
2009,31.493267,33.067930,29.918603
2010,33.306328,34.971644,31.641012
2011,34.436471,36.158294,32.714647
2012,34.935453,36.682226,33.188681
2013,35.232467,36.994090,33.470844
2014,35.466195,37.239505,33.692885
2015,35.463215,37.236375,33.690054
2016,35.460026,37.233027,33.687024
2017,36.025451,37.826724,34.224179
2018,36.766945,38.605292,34.928598
2019,37.040103,38.892109,35.188098
2020,35.007739,36.758126,33.257352
2021,36.816542,38.657370,34.975715
2022,37.149785,39.007274,35.292295
2023,37.547161,39.817687,35.278016
