"Year","China","USA","India","EU27","Bunkers","RoW"
2000,3.649201,6.010136,0.977526,3.601509,0.784586,10.478330
2001,3.728513,5.907740,0.990970,3.658265,0.779067,10.610375
2002,4.103043,5.946308,1.021664,3.658905,0.798401,10.719968
2003,4.841119,6.010145,1.059160,3.743083,0.830915,11.164228
2004,5.217351,6.112655,1.125096,3.753995,0.903401,11.507695
2005,5.882143,6.132183,1.185674,3.734855,0.939524,11.717723
2006,6.494338,6.052686,1.292485,3.744527,0.991839,12.029892
2007,6.983577,6.130123,1.392506,3.708245,1.049062,12.236222
2008,7.501498,5.915118,1.489438,3.624359,1.059104,12.452386
2009,7.891089,5.480726,1.612216,3.330523,1.014988,12.163723
2010,8.620627,5.679715,1.677337,3.431445,1.079749,12.817455
2011,9.532409,5.546116,1.764712,3.330913,1.108283,13.154036
2012,9.779354,5.344086,1.925700,3.258429,1.096656,13.531228
2013,9.956376,5.480157,1.995098,3.178525,1.112683,13.509628
2014,9.998674,5.528681,2.148344,3.041581,1.120414,13.628501
2015,9.866951,5.376473,2.234220,3.092762,1.160088,13.732721
2016,9.765030,5.252932,2.354658,3.097996,1.173679,13.815731
2017,10.011152,5.212162,2.426607,3.119782,1.226143,14.029606
2018,10.353934,5.377797,2.593058,3.046239,1.261421,14.134495
2019,10.721042,5.262145,2.612888,2.904162,1.264191,14.275676
2020,10.914012,4.714628,2.421552,2.629971,0.858777,13.468799
2021,11.336234,5.032213,2.674222,2.805762,0.908013,14.060099
2022,11.396777,5.057304,2.829644,2.761907,1.049341,14.054811
2023,11.854945,4.903295,3.062750,2.557225,1.174517,13.994446
