"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,2.676211,1.418953,5244845.817901,370823808
1966,2.757727,1.467637,5490634.323359,373731408
1967,2.819335,1.518710,5684791.458048,376574240
1968,2.992575,1.626924,6002735.566339,379223655
1969,3.191218,1.761700,6414120.085807,381650218
1970,3.330682,1.891092,6778045.431323,383912144
1971,3.424552,1.951339,7059633.077262,386311288
1972,3.554761,2.057410,7424111.096507,388928003
1973,3.727923,2.174682,7904841.450373,391450135
1974,3.708678,2.153302,8214921.000026,393899609
1975,3.635988,2.142121,8248205.331995,396192923
1976,3.911710,2.276644,8682012.993973,398287712
1977,3.873171,2.310879,8981539.956028,400304332
1978,4.003664,2.405509,9282256.159092,402142985
1979,4.113135,2.492937,9614025.842800,403862927
1980,4.077501,2.450758,9789562.566072,405627451
1981,3.863381,2.380367,9804778.592601,407250195
1982,3.771411,2.324199,9879662.822022,408628060
1983,3.728486,2.334889,10051973.149570,409863559
1984,3.763594,2.405962,10294958.088418,411049653
1985,3.820581,2.529036,10521258.593590,412238076
1986,3.805261,2.565485,10802991.443881,413424951
1987,3.839636,2.618688,11067687.303977,414679266
1988,3.797893,2.640650,11488214.438497,415961539
1989,3.835037,2.647457,11886706.563006,417254691
1990,3.870427,2.635288,12143021.091811,418534484
1991,3.804558,2.623284,12252444.994281,419793488
1992,3.678623,2.573055,12348096.375091,421023012
1993,3.609838,2.553223,12272401.293533,422126899
1994,3.590762,2.543812,12602094.910310,423072238
1995,3.637058,2.606686,12953806.730891,423814630
1996,3.721912,2.686542,13215261.303611,424405436
1997,3.655535,2.676062,13554326.175754,424961247
1998,3.645832,2.703540,13956899.728682,425461504
1999,3.590361,2.691029,14355093.727160,425928523
2000,3.601509,2.710280,14915305.247698,426635023
2001,3.658265,2.764302,15252729.697564,427424679
2002,3.658905,2.745560,15444863.137236,428378358
2003,3.743083,2.799067,15613278.184053,429699049
2004,3.753995,2.838479,16045503.008824,431170333
2005,3.734855,2.839733,16379172.625067,432626658
2006,3.744527,2.861612,16978806.244650,434045248
2007,3.708245,2.826233,17544565.954582,435752832
2008,3.624359,2.815334,17698094.026782,437503177
2009,3.330523,2.647122,16941308.494453,438847033
2010,3.431445,2.754214,17295782.721569,439891789
2011,3.330913,2.671893,17608351.524860,440792792
2012,3.258429,2.644972,17483463.236638,441481826
2013,3.178525,2.623813,17483011.681175,441898478
2014,3.041581,2.532847,17770317.988749,442278024
2015,3.092762,2.566301,18194292.495902,442703803
2016,3.097996,2.594145,18574392.026117,443179776
2017,3.119782,2.630121,19124032.742633,443746850
2018,3.046239,2.627285,19550093.563849,444343192
2019,2.904162,2.584132,19938251.737109,445026986
2020,2.629971,2.391515,18754388.456346,445290452
2021,2.805762,2.518769,19768386.503743,445051168
2022,2.761907,2.430347,20335884.544245,447315889
