"Year","deforestation_tot","forest_regrowth_tot","deforestation_perm","forest_regrowth_AR"
1959,7.551260,-2.893400,5.707046,-1.039623
1960,6.959170,-2.930223,5.018398,-1.061998
1961,6.734896,-2.961086,4.737821,-1.090651
1962,6.590083,-3.003393,4.550786,-1.115993
1963,6.472908,-3.039801,4.425245,-1.140212
1964,6.377485,-3.068698,4.318256,-1.153989
1965,6.100597,-3.103909,4.014694,-1.173457
1966,5.981382,-3.132598,3.883657,-1.180468
1967,5.983165,-3.133660,3.879553,-1.176535
1968,5.982469,-3.150283,3.875144,-1.175472
1969,5.903938,-3.198501,3.791703,-1.195185
1970,5.942629,-3.222476,3.843927,-1.214347
1971,5.933091,-3.226067,3.842486,-1.219111
1972,5.957908,-3.251397,3.887077,-1.222506
1973,5.966677,-3.276105,3.874179,-1.231055
1974,5.853277,-3.267555,3.766934,-1.227135
1975,5.910288,-3.284984,3.819757,-1.229932
1976,5.905342,-3.290687,3.822236,-1.225388
1977,5.938245,-3.312171,3.849386,-1.228661
1978,5.799587,-3.324286,3.694704,-1.229406
1979,5.693929,-3.342252,3.583856,-1.221712
1980,5.788607,-3.344646,3.679767,-1.213761
1981,6.002670,-3.358728,3.886600,-1.220442
1982,6.039286,-3.361830,3.900133,-1.205700
1983,6.313365,-3.376852,4.189711,-1.201670
1984,6.731134,-3.357702,4.703648,-1.196711
1985,6.438686,-3.363674,4.385283,-1.202256
1986,6.564374,-3.379380,4.513047,-1.214567
1987,6.588238,-3.418207,4.501627,-1.229858
1988,6.500192,-3.433083,4.358523,-1.242450
1989,6.363110,-3.443488,4.261208,-1.252868
1990,6.437172,-3.541012,4.306189,-1.317660
1991,6.362255,-3.551002,4.223615,-1.309416
1992,6.507789,-3.538703,4.410235,-1.280678
1993,6.570688,-3.549244,4.437568,-1.266535
1994,7.176738,-3.581316,5.120501,-1.287530
1995,7.220865,-3.630975,5.090933,-1.308402
1996,7.256210,-3.638706,5.125020,-1.309624
1997,7.396456,-3.688231,5.249266,-1.334844
1998,7.842157,-3.744229,5.747448,-1.364632
1999,7.831885,-3.768485,5.712176,-1.396766
2000,7.567711,-3.856433,5.387936,-1.451787
2001,7.264491,-3.929787,5.037682,-1.477288
2002,7.254818,-4.019677,5.016138,-1.537097
2003,7.820686,-4.075650,5.564102,-1.575276
2004,7.424607,-4.101970,5.121454,-1.590616
2005,7.125271,-4.164185,4.756532,-1.637295
2006,6.953002,-4.205686,4.552496,-1.672225
2007,6.950803,-4.238027,4.500137,-1.686808
2008,7.054824,-4.258728,4.579145,-1.694747
2009,7.142443,-4.297481,4.590662,-1.705629
2010,7.216480,-4.406876,4.589954,-1.788093
2011,7.212633,-4.424769,4.581111,-1.820666
2012,7.225298,-4.458099,4.565979,-1.830278
2013,7.114157,-4.528435,4.393930,-1.891320
2014,7.167834,-4.522512,4.412164,-1.858833
2015,7.188402,-4.580440,4.387579,-1.887131
2016,7.076320,-4.673896,4.230686,-1.954194
2017,7.057267,-4.707910,4.183873,-1.968215
2018,6.827375,-4.741937,3.901769,-1.973125
2019,6.890958,-4.763786,3.946849,-1.950824
2020,6.951353,-4.761344,3.979165,-1.912889
2021,6.968794,-4.734230,4.062851,-1.875064
2022,6.956153,-4.708619,4.022962,-1.839926
