"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,2.523900,2.870503,0.181228,0.180424,5.633748,5.553518,0.587829,0.548912
1991,2.473506,2.786661,0.188931,0.183227,5.492965,5.382643,0.607599,0.559520
1992,2.384647,2.983205,0.197106,0.194434,5.534155,5.506345,0.629578,0.593890
1993,2.333937,2.777488,0.199549,0.192077,5.561087,5.492146,0.666798,0.629246
1994,2.316417,2.698860,0.206172,0.197317,5.582148,5.528323,0.701648,0.621700
1995,2.342172,2.732081,0.215238,0.203556,5.573628,5.519374,0.753176,0.670797
1996,2.393479,2.699846,0.228609,0.213261,5.695230,5.621576,0.779653,0.694439
1997,2.347719,2.641134,0.233628,0.218940,5.699217,5.656999,0.775162,0.674389
1998,2.338735,2.671752,0.234005,0.219023,5.672811,5.750338,0.736490,0.647879
1999,2.300625,2.668858,0.249308,0.237809,5.673865,5.855921,0.773336,0.689668
2000,2.303947,2.695775,0.251778,0.233914,5.808532,6.044157,0.787882,0.704397
2001,2.335932,2.692963,0.250666,0.231277,5.648130,5.905452,0.799541,0.720121
2002,2.331139,2.673798,0.253879,0.230814,5.628227,5.956823,0.874232,0.777727
2003,2.377440,2.767824,0.258697,0.239816,5.634724,6.083398,1.025133,0.863487
2004,2.376235,2.798098,0.270243,0.248855,5.675499,6.144363,1.098034,0.908252
2005,2.356162,2.845456,0.280262,0.259156,5.638107,6.182300,1.230289,0.986755
2006,2.354543,2.895543,0.300887,0.274441,5.510982,6.107391,1.349852,1.067407
2007,2.322591,2.887568,0.319453,0.297396,5.526358,5.985311,1.442284,1.145269
2008,2.260968,2.854791,0.336864,0.312331,5.281044,5.638372,1.539169,1.224740
2009,2.071304,2.572840,0.359595,0.340196,4.848535,5.112801,1.608275,1.369880
2010,2.129000,2.667755,0.369002,0.347075,4.981446,5.232371,1.745146,1.485251
2011,2.062402,2.576914,0.382973,0.353977,4.822526,5.059726,1.917065,1.636616
2012,2.014374,2.404772,0.412380,0.383294,4.606135,4.871715,1.953106,1.697247
2013,1.963124,2.327572,0.421734,0.376559,4.683132,4.903998,1.974676,1.730442
2014,1.876932,2.251481,0.448529,0.409169,4.685591,4.946742,1.970052,1.736940
2015,1.906680,2.218777,0.460951,0.432269,4.520465,4.868389,1.932206,1.736606
2016,1.907856,2.226459,0.480076,0.444307,4.381467,4.721608,1.901097,1.725881
2017,1.918817,2.248424,0.489060,0.458201,4.313436,4.660174,1.937423,1.769314
2018,1.871070,2.263529,0.516954,0.483501,4.419038,4.764451,1.994155,1.851917
2019,1.781062,2.162864,0.515594,0.482961,4.295814,4.641574,2.057896,1.906586
2020,1.611952,1.966590,0.473296,0.439322,3.830255,4.213659,2.090429,1.912323
2021,1.720622,2.145208,0.518530,0.474612,4.075461,4.512761,2.169833,1.975336
