"Year","GDP-PPP","Emissions/GDP-PPP"
1,25.981442,0.119719
2,21.708446,0.063582
3,10.129642,0.076240
4,5.232795,0.054963
5,4.518074,0.040208
6,3.732981,0.120794
7,3.421801,0.058136
8,3.209517,0.027097
9,3.154768,0.025740
10,3.057748,0.043154
