"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.958544,-0.024022,-0.234083,-0.089067,0.066035
1991,-1.986448,-0.024279,-0.241193,-0.086317,0.066430
1992,-1.974289,-0.086877,-0.248337,-0.083632,0.066813
1993,-2.001655,-0.087709,-0.255514,-0.081013,0.067185
1994,-2.029646,-0.088578,-0.262724,-0.078461,0.067546
1995,-2.058310,-0.089485,-0.269968,-0.075978,0.067895
1996,-2.087573,-0.090431,-0.277245,-0.073563,0.068233
1997,-2.117462,-0.091414,-0.284555,-0.071219,0.068559
1998,-2.148009,-0.092435,-0.291898,-0.068946,0.068875
1999,-2.179183,-0.093494,-0.299275,-0.066745,0.069179
2000,-2.184851,-0.094237,-0.296839,-0.064618,0.069471
2001,-2.190626,-0.094959,-0.294059,-0.062565,0.069753
2002,-2.196543,-0.095662,-0.291552,-0.060588,0.070023
2003,-2.202677,-0.096349,-0.289321,-0.058687,0.070281
2004,-2.215580,-0.097045,-0.287493,-0.056348,0.070220
2005,-2.222734,-0.097721,-0.285807,-0.054041,0.070153
2006,-2.372901,-0.087035,-0.387684,-0.051765,0.070082
2007,-2.391437,-0.087613,-0.391122,-0.049521,0.070007
2008,-2.410059,-0.088179,-0.394603,-0.047310,0.069927
2009,-2.410408,-0.088693,-0.398419,-0.045271,0.069574
2010,-2.429276,-0.089197,-0.402299,-0.044812,0.069219
2011,-2.448316,-0.089693,-0.406263,-0.044428,0.068862
2012,-2.467550,-0.090181,-0.410327,-0.044117,0.068501
2013,-2.477918,-0.089914,-0.401034,-0.041440,0.067470
2014,-2.035367,-0.153796,-0.275148,-0.038858,0.066627
2015,-2.012104,-0.153608,-0.261597,-0.036371,0.065788
2016,-1.988083,-0.153273,-0.248500,-0.033978,0.064952
2017,-1.987418,-0.153764,-0.240807,-0.033701,0.064596
2018,-1.983183,-0.154181,-0.233347,-0.033467,0.064240
2019,-1.978649,-0.154528,-0.226117,-0.033273,0.063883
2020,-1.981865,-0.155007,-0.221720,-0.033118,0.063527
2021,-1.988959,-0.155507,-0.218326,-0.033280,0.063169
2022,-1.730138,-0.135937,-0.231222,-0.033459,0.062813
2023,-1.732559,-0.136354,-0.229173,-0.033655,0.062457
