"Year","Electricity generation","Manufacturing industries and construction: Other","Cars","Heavy duty trucks and buses","Residential: Stationary combustion","All other Other sectors","All others"
1990,2.031268,0.191766,0,0,1.385125,0.311518,0.044278
1991,2.003369,0.191890,0,0,1.531816,0.473245,0.053838
1992,1.979519,0.190491,0,0,1.440192,0.473133,0.063884
1993,2.180649,0.185240,0,0,1.548015,0.536506,0.065285
1994,2.054857,0.196541,0,0,1.490790,0.570387,0.074255
1995,2.245242,0.306596,0,0,1.548761,0.611445,0.084602
1996,2.846848,0.308998,0,0,1.851605,0.599727,0.086056
1997,3.297207,0.324137,0,0,1.633590,0.601668,0.074162
1998,3.562479,0.315077,0,0,1.562474,0.558167,0.069425
1999,3.798024,0.316001,0,0,1.526850,0.591778,0.077313
2000,4.137825,0.331819,0,0,1.510172,0.595992,0.072270
2001,4.401499,0.332526,0,0,1.603451,0.614883,0.068791
2002,4.976304,0.360570,0,0,1.540741,0.625909,0.067727
2003,4.645048,0.377790,0.002572,0.005088,1.652329,0.505757,0.070681
2004,5.411046,0.465734,0.002616,0.005028,1.743894,0.362613,0.084507
2005,6.657344,0.525947,0.001975,0.003857,1.773184,0.364364,0.075071
2006,6.578366,0.604516,0.070261,0.038552,1.812936,0.446556,0.090522
2007,5.822214,0.609132,0.422354,0.373485,1.738523,0.606513,0.201485
2008,6.531519,1.115996,0.439914,0.306226,1.909025,0.829470,0.185745
2009,7.525182,1.293792,0.580367,0.393593,1.959204,0.909987,0.229656
2010,8.235300,1.155537,0.451759,0.161713,2.348549,1.021154,0.167439
2011,8.510114,0.977786,0.569098,0.295683,1.918933,1.005514,0.190211
2012,8.668060,1.110340,0.514157,0.314476,2.057867,1.032964,0.195438
2013,7.734811,1.064796,0.498812,0.275382,2.201337,1.063229,0.227169
2014,7.039305,1.113905,0.562231,0.317426,1.756147,1.259611,0.289864
2015,6.795709,1.404671,0.541096,0.209425,1.961417,1.291783,0.269350
2016,7.035816,1.405879,0.449580,0.150184,1.981921,1.293477,0.248107
2017,6.896306,1.575487,0.520537,0.238263,1.892266,1.361416,0.298002
2018,6.770335,1.662749,0.739493,0.454130,1.897617,1.496519,0.461241
2019,8.295669,1.642396,0.891066,0.583607,1.886708,1.619230,0.566757
2020,11.396065,1.678941,0.831101,0.423781,1.822807,1.720908,0.564393
2021,13.242295,1.894447,0.885230,0.521689,2.174207,1.908910,0.647855
2022,12.031148,1.922989,0.898224,0.414961,2.163609,1.769866,0.624580
2023,9.894608,1.630747,0.893657,0.429965,2.125183,1.578506,0.642388
2024,9.128016,1.721708,1.027456,0.890799,2.097651,1.523632,0.944562
