"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,15.608815,2.223653,8.354450
1991,15.595796,2.281004,8.732829
1992,16.057663,2.483212,9.591802
1993,16.441562,2.733227,9.791281
1994,16.706148,2.780104,8.899812
1995,17.074152,2.810721,8.852445
1996,17.669146,2.921895,9.351159
1997,17.604645,3.113047,9.226325
1998,17.892289,3.394941,9.390643
1999,18.147029,3.722156,9.327418
2000,17.762025,3.744595,9.658574
2001,18.169395,4.013666,9.228950
2002,18.549725,4.076090,9.518131
2003,18.693227,4.174380,9.826061
2004,18.825334,4.355497,10.053046
2005,18.747694,4.217023,10.413219
2006,19.005518,3.926311,11.300814
2007,18.472443,3.708717,11.094569
2008,18.301144,3.653833,11.491286
2009,17.930680,3.402996,10.573563
2010,17.881485,3.471581,11.170478
2011,17.697521,3.390361,11.420027
2012,17.146722,3.310177,10.669172
2013,16.658298,3.251841,9.625375
2014,16.228725,3.208597,7.800256
2015,16.248075,3.297089,7.807111
2016,16.683893,3.444619,7.411755
2017,16.792926,3.522433,7.996935
2018,16.773206,3.546713,8.174742
2019,16.570286,3.578735,7.982685
2020,13.287112,3.521834,7.118645
2021,13.374747,3.619946,6.994380
2022,13.548509,3.716479,6.525560
2023,14.457053,3.726346,6.593757
