"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,150.899357,53.355153,29.230092,27.963540,39.957750,0.392822,,
1991,157.274947,54.086596,29.058460,28.503902,45.230014,0.395976,,
1992,155.323089,54.055778,28.565811,29.989933,42.326212,0.385355,,
1993,159.975029,56.435896,27.704963,30.831313,44.617501,0.385356,,
1994,160.179344,60.415369,27.220949,30.219978,41.974388,0.348661,,
1995,164.070713,62.715833,26.009507,30.652566,44.325891,0.366916,,
1996,173.469785,63.753565,26.655621,32.068943,50.623980,0.367676,,
1997,165.932450,64.327727,25.860789,31.918089,43.535122,0.290723,,
1998,166.611801,66.708383,25.075875,32.596720,41.951639,0.279184,,
1999,161.079451,62.997246,24.458057,33.110903,40.185226,0.328020,,
2000,162.297502,64.633730,23.969232,33.110182,40.267231,0.317126,,
2001,167.437034,68.540565,23.328317,33.417228,41.856013,0.294910,,
2002,165.265791,67.802346,23.070024,34.169283,39.923078,0.301060,,
2003,168.184102,69.256227,22.864856,34.720486,41.050966,0.291567,,
2004,169.793270,70.951717,22.360768,35.303296,40.921462,0.256028,,
2005,166.173225,68.210274,22.587129,35.546361,39.571069,0.258391,,
2006,160.666058,63.296390,21.539333,36.455248,39.134100,0.240987,,
2007,160.063755,65.988263,21.630976,35.456892,36.756148,0.231475,,
2008,163.804972,66.234260,20.750305,35.696723,40.894826,0.228857,,
2009,159.413309,65.043949,19.109875,34.141625,40.881866,0.235994,,
2010,170.191259,67.536699,20.191200,34.938126,47.206912,0.318322,,
2011,157.535039,63.383759,20.383081,34.859197,38.654308,0.254693,,
2012,154.366791,60.011387,20.148851,33.349180,40.649680,0.207692,,
2013,153.870709,60.382734,19.720868,31.821620,41.710532,0.234954,,
2014,145.936430,64.494869,18.657204,29.236096,33.303580,0.244681,,
2015,153.032873,69.632942,18.941627,29.054841,35.188462,0.215001,,
2016,152.774692,67.719714,20.099746,29.129026,35.610001,0.216206,,
2017,149.970534,63.322640,21.396342,29.890283,35.161395,0.199873,,
2018,145.450941,59.620623,20.350808,30.047673,35.236235,0.195602,,
2019,141.259185,57.108220,20.185619,29.591435,34.169703,0.204208,,
2020,125.117384,47.298941,20.113417,25.045569,32.464631,0.194827,,
2021,128.501272,47.316479,20.534318,25.244879,35.198390,0.207206,,
2022,115.979615,45.314210,18.310403,25.026440,27.072072,0.256491,,
2023,106.580757,37.391188,17.007123,26.258553,25.654990,0.268903,,
2024,104.408008,36.305966,17.610864,25.129953,25.158520,0.202705,,
