"Year","Coal","Natural gas","Hydro","Wind","Solar"
2016,-0.607512,-1.373412,-0.264412,-0.017843,-0.000185
2017,-2.946062,-4.755735,12.031267,-0.046662,0.005201
2018,1.324994,0.593294,-1.516764,0.039294,0.006427
2019,3.509438,1.483418,-5.210586,0.019340,0.112922
2020,1.187983,1.947417,-4.597525,-0.051805,0.061613
2021,-4.681950,-1.253369,11.916238,0.050641,0.128092
2022,0.567919,-0.003081,0.131670,0.011662,0.179590
2023,6.318986,2.716547,-4.238422,-0.014296,0.627785
2024,2.458976,3.528138,-5.125842,-0.057828,2.641489
